Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.77,35.1,3.96,2.22,20.98,133.76,335.17,2678.7,5.185288951979416e-11,5.365899231660183e-10
1.59,77.9,3.95,3.89,40.96,176.62,322.39,948.63,1.2368790849678477e-10,4.6247815977121556e-10
2.36,115.0,6.7,4.02,58.24,176.92,310.83,463.05,1.8160722927850298e-10,3.243881330939703e-10
3.13,156.0,3.16,0.9,74.68,172.53,299.69,349.2,2.519731782762845e-10,2.446217016602091e-10
3.95,192.0,3.14,0.0,91.45,173.49,288.26,188.22,3.024508550508894e-10,2.0716946058662118e-10
4.73,204.0,2.9,0.0,107.35,174.08,276.77,83.53,2.85133765181804e-10,1.848183112071932e-10
5.5,209.0,3.36,0.0,120.52,167.74,257.54,24.93,2.573826912086574e-10,1.5884668211490039e-10
6.27,220.0,3.25,0.0,132.68,159.21,255.77,7.38,2.501654188741386e-10,1.3720574667234752e-10
7.08,231.0,3.49,0.0,150.86,150.44,254.06,2.06,2.4425314080731436e-10,1.24604783890282e-10
7.86,235.0,4.65,0.24,170.8,142.84,239.48,0.6,2.2769979171509517e-10,1.190292199293285e-10
8.66,245.0,6.0,0.0,187.59,136.33,211.03,0.17,2.246279178751442e-10,1.1453165593988184e-10
9.45,246.0,5.57,3.8,199.82,130.53,180.74,0.05,2.0753333281613275e-10,1.0941526868075645e-10
10.24,239.0,6.95,0.0,208.12,125.41,151.13,0.01,1.8077788459163063e-10,1.0338318508360182e-10
11.02,240.0,7.16,3.35,212.98,120.9,124.69,0.0,1.6939100462951074e-10,9.68211624050546e-11
11.79,240.0,4.85,15.63,214.9,116.92,101.97,0.0,1.5832814851715084e-10,9.044633575874278e-11
12.47,246.0,7.68,22.51,214.77,113.67,85.47,0.0,1.5727265397854486e-10,8.476024278253784e-11
13.34,241.0,6.21,30.77,213.03,109.94,69.15,0.0,1.4110022634197285e-10,7.797899446432677e-11
14.11,250.0,5.62,37.16,210.67,106.85,58.36,0.0,1.4354975593375405e-10,7.249523544755042e-11
14.59,242.0,5.1,39.71,209.26,105.08,53.0,0.0,1.3008430317837058e-10,6.93047478784756e-11
14.98,244.0,7.41,41.88,208.03,103.7,48.81,0.0,1.2880042443730588e-10,6.689192983369256e-11
15.75,248.0,5.08,44.73,205.55,101.13,41.91,0.0,1.2655294568236595e-10,6.23161074669751e-11
16.52,249.0,5.22,46.3,203.07,98.75,35.71,0.0,1.2162927164457426e-10,5.8044664470964224e-11
17.1,246.0,6.35,46.79,201.06,97.06,31.62,0.0,1.1468947339838915e-10,5.495360335618456e-11
17.88,241.0,16.2,46.99,198.19,94.92,26.82,0.0,1.0527276394865313e-10,5.1030605978298585e-11
18.65,247.0,14.6,47.18,195.23,92.94,22.81,0.0,1.0601431833844288e-10,4.749056976549889e-11
19.62,234.0,20.9,47.77,191.47,90.61,18.65,0.0,9.044450091797826e-11,4.353987607039254e-11
20.78,249.0,10.0,51.51,186.83,88.05,14.6,0.0,9.669468563851621e-11,3.982036015221252e-11
22.13,236.0,16.1,57.31,181.4,85.32,10.95,0.0,8.15627850581275e-11,3.636624119638845e-11
23.0,245.0,22.1,59.87,177.88,83.69,9.17,0.0,8.457729429559778e-11,3.425063438349358e-11
23.58,243.0,4.2,61.24,175.64,82.65,8.14,0.0,8.115554550164271e-11,3.2925600367731454e-11
25.03,238.0,7.76,61.05,170.07,80.22,6.11,0.0,7.334027251319163e-11,2.9382822359279844e-11
25.9,247.0,6.14,60.16,166.98,78.87,5.18,0.0,7.633849563752739e-11,2.742114653366537e-11
