Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.82,107.0,25.6,8.12,32.7,0.0,413.25,0.0,4.524839279360607e-10,2.3735918067034904e-11,2.1651567392828325e-10,0.2078119390041728,0.1
2.46,159.0,26.5,22.67,79.76,0.0,306.2,0.0,3.3304935459142135e-10,4.867436681130827e-11,1.1101645153047378e-10,0.14476482730108392,0.1
4.1,194.0,13.9,31.68,107.57,0.0,228.25,0.0,2.974877301389044e-10,5.366473494568101e-11,4.2629685040523415e-11,0.06223395153046598,0.1
5.74,198.0,14.6,34.72,124.14,0.0,177.01,0.0,2.213440963129072e-10,5.03102653354376e-11,3.264266470877217e-11,0.06404746904835835,0.1
7.38,211.0,13.2,31.78,137.6,0.0,158.86,0.0,1.9550506066169155e-10,4.6006982816768393e-11,2.4461296689424914e-11,0.0543382669300751,0.1
9.02,222.0,13.6,23.89,155.68,0.0,132.54,0.0,1.7707158151486685e-10,4.558958469598556e-11,2.1695256834253955e-11,0.053210855440398414,0.1
10.65,230.0,11.6,14.68,168.58,0.0,103.66,0.0,1.6097391966094536e-10,4.389539876795183e-11,1.6237369287538838e-11,0.043807095565893225,0.1
12.29,239.0,11.6,14.98,175.29,0.0,76.77,0.0,1.5062372158000797e-10,4.110355644445286e-11,1.4621214814461024e-11,0.04215745598391398,0.1
13.93,237.0,11.6,26.72,175.91,0.0,57.94,0.0,1.30675758749309e-10,3.7656604752852534e-11,1.2791888620185524e-11,0.0425132151061411,0.1
15.57,240.0,11.6,39.88,176.17,0.0,46.35,0.0,1.1989010090027028e-10,3.560975121290838e-11,1.158937642035946e-11,0.041981799917314336,0.1
17.21,245.0,11.6,50.51,175.33,0.0,35.14,0.0,1.130318285182306e-10,3.3747725297692646e-11,1.0703422129073265e-11,0.04112502849043037,0.1
18.85,249.0,11.6,57.09,172.3,0.0,26.49,0.0,1.0659499032192926e-10,3.1123366505269696e-11,9.931742070155659e-12,0.04046438546247166,0.1
20.49,248.0,11.6,60.02,168.12,0.0,20.79,0.0,9.727715444105728e-11,2.8049692237424733e-11,9.100120899324712e-12,0.04062754830707839,0.1
22.13,250.0,11.6,60.43,164.68,0.0,17.2,0.0,9.152675355740033e-11,2.520505636750399e-11,8.493682730126751e-12,0.040302527920621764,0.1
23.77,255.0,11.6,58.91,161.19,0.0,13.63,0.0,8.865446921736518e-11,2.244344796158324e-11,8.0658183758544e-12,0.039512282275119374,0.1
25.41,244.0,14.9,57.29,157.33,0.0,11.03,0.0,7.593193066000952e-11,1.9970787178476326e-11,9.27365382650936e-12,0.053040883445561085,0.1
27.05,244.0,11.6,58.0,153.64,0.0,9.0,0.0,7.132829419855239e-11,1.817067783750102e-11,6.782034530354161e-12,0.041293573689161645,0.1
28.68,249.0,11.6,61.94,149.77,0.0,7.43,0.0,7.005981755817179e-11,1.7008543132726455e-11,6.527661716263396e-12,0.04046438546247166,0.1
30.32,251.0,11.6,65.99,146.07,0.0,6.46,0.0,6.733916096530248e-11,1.6057358660664164e-11,6.224177427868596e-12,0.04014196008030056,0.1
31.96,249.0,11.6,67.21,143.32,0.0,5.72,0.0,6.286969860977368e-11,1.4994683516466585e-11,5.857738986934736e-12,0.04046438546247165,0.1
33.6,244.0,12.9,64.98,140.67,0.0,4.88,0.0,5.742352256163221e-11,1.3615540863738924e-11,6.071831483975865e-12,0.04592130177501597,0.1
35.24,239.0,16.2,62.25,138.0,0.0,4.23,0.0,5.2530236612324e-11,1.232035263799816e-11,7.121253833637229e-12,0.05887506783960401,0.1
36.88,238.0,18.4,61.64,135.58,0.0,3.76,0.0,4.977513614439226e-11,1.1415186172815873e-11,7.696323571906029e-12,0.0671514156892423,0.1
38.52,241.0,24.9,63.36,133.6,0.0,3.31,0.0,4.8864927814172326e-11,1.0885863113475493e-11,1.0097400021351791e-11,0.08974217924805783,0.1
40.16,237.0,23.0,64.98,131.71,0.0,2.88,0.0,4.532652687693911e-11,1.0406776939224447e-11,8.797553739827845e-12,0.08429344374493494,0.1
41.8,228.0,14.0,64.88,130.03,0.0,2.53,0.0,4.0303509715144274e-11,9.81794461916947e-12,4.949553824666841e-12,0.05333441005829408,0.1
43.44,233.0,16.9,63.87,129.69,0.0,2.26,0.0,4.050153473127575e-11,9.31733367580297e-12,5.875329930974765e-12,0.06300065874819703,0.1
45.08,233.0,13.7,64.47,130.42,0.0,0.0,0.0,3.9028098241495535e-11,9.101981039937434e-12,4.5895703511458265e-12,0.051071539931970375,0.1
46.71,230.0,11.6,69.03,123.79,0.0,0.0,0.0,3.6702467231622096e-11,8.622042965136368e-12,3.702161912059272e-12,0.043807095565893225,0.1
48.35,226.0,11.6,76.21,119.55,0.0,0.0,0.0,3.423496236070713e-11,8.682785254823994e-12,3.51438551667436e-12,0.04458244239006832,0.1
49.99,225.0,11.6,82.59,116.42,0.0,0.0,0.0,3.28194542016897e-11,8.815332172765628e-12,3.384050388796449e-12,0.044780586578468624,0.1
