Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.63,14.8,5.06,-2.24,7.48,0.0,16.55,0.0,1.1267623740840203e-11,1.1809605496380254e-12
1.26,27.2,5.06,-3.7,13.07,0.0,13.49,0.0,1.9029032935589884e-11,1.8447351633747824e-12
1.88,34.1,5.06,3.88,16.73,0.0,9.83,0.0,2.0044737054036643e-11,2.671933747905656e-12
2.52,38.8,5.06,-2.84,19.07,0.0,6.78,0.0,1.9360312596341394e-11,2.2346825744510346e-12
3.14,42.8,5.06,11.17,20.36,0.0,4.99,0.0,1.8906334823315656e-11,3.4269042628310014e-12
3.77,47.9,5.06,17.24,21.25,0.0,3.62,0.0,1.9723279603920724e-11,4.4958192088942224e-12
4.4,51.9,5.06,20.77,21.39,0.0,2.6,0.0,1.9839535234614354e-11,4.862339666459144e-12
5.03,57.6,5.06,26.16,21.32,0.0,1.84,0.0,2.137599979534616e-11,5.873456949940358e-12
5.65,60.7,5.06,31.16,20.9,0.0,1.34,0.0,2.1133838736400547e-11,6.821987244215951e-12
6.29,65.6,5.06,33.7,20.41,0.0,1.04,0.0,2.217208261565043e-11,6.924520298067164e-12
6.91,68.6,5.06,34.59,20.24,0.0,0.91,0.0,2.2070879460755703e-11,6.572060741831771e-12
