Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.87,42.2,7.3,0.0,94.8,0.0,888.2,0.0,6.633688954865672e-11,1.673851328163563e-10
1.74,79.9,5.9,11.42,129.33,0.0,459.63,0.0,1.1890326089023157e-10,1.581936280753616e-10
2.71,112.0,6.2,11.32,142.76,0.0,257.04,0.0,1.5000861776112047e-10,1.2339298478043676e-10
3.58,127.0,4.9,18.54,148.78,0.0,177.75,0.0,1.4600706471444634e-10,1.0330188391207999e-10
4.45,130.0,4.9,23.17,155.31,0.0,98.21,0.0,1.230767865175984e-10,9.174279816165214e-11
5.32,133.0,4.5,25.76,149.59,0.0,42.75,0.0,1.0775591139118433e-10,7.219969927929183e-11
6.2,136.0,7.4,25.0,139.16,0.0,13.28,0.0,9.667976410823892e-11,5.387927709721233e-11
