Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.5,24.2,2.18,-0.51,24.79,0.0,167.58,0.0,3.7958599667448537e-11,1.989915938660734e-11,6.8388220888461e-12,0.07824479095447015,0.1
1.0,42.0,2.91,-5.39,39.13,0.0,101.17,0.0,5.7167346674902e-11,2.386919341590148e-11,7.921760896379277e-12,0.06018080677802203,0.1
1.5,59.4,2.4,-5.79,45.87,0.0,67.11,0.0,7.623090677016523e-11,2.200498536143073e-11,6.160073274356787e-12,0.03509450358814156,0.1
2.0,63.9,2.01,7.68,49.56,0.0,35.27,0.0,6.616391202279666e-11,2.0855698079494203e-11,4.162424512232277e-12,0.027321812476542594,0.1
2.49,66.0,2.0,15.55,48.96,0.0,24.9,0.0,5.669411480750055e-11,1.8746324245274152e-11,3.4360069580303363e-12,0.026320877691106172,0.1
3.0,67.2,2.07,19.33,48.14,0.0,18.24,0.0,4.8782802495916375e-11,1.6553670517788292e-11,3.005369082337705e-12,0.026755642188682476,0.1
3.49,68.7,2.38,19.89,46.88,0.0,13.06,0.0,4.382657193992362e-11,1.3877586145313932e-11,3.0366009087923793e-12,0.030090854932452383,0.1
4.0,71.3,2.91,25.08,45.84,0.0,12.13,0.0,4.118779317144736e-11,1.3608511873878763e-11,3.3620330470943004e-12,0.03545012460977454,0.1
4.49,72.5,3.21,25.36,46.88,0.0,11.01,0.0,3.7938410117716067e-11,1.2573334415628827e-11,3.3595116269756848e-12,0.038457525156122434,0.1
5.01,74.0,3.41,26.06,48.01,0.0,7.73,0.0,3.542217044276112e-11,1.184795045176833e-11,3.264583816481498e-12,0.040025518467299695,0.1
5.5,76.2,3.17,28.3,47.84,0.0,5.0,0.0,3.421343727345063e-11,1.1461886844725167e-11,2.846629820389462e-12,0.0361342127987745,0.1
