Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.72,125.0,17.6,2.2,201.48,0.0,4079.93,0.0,7.032941167448853e-10,9.138068214205373e-10
1.43,162.0,8.5,3.72,240.13,0.0,2087.92,0.0,5.947623194805703e-10,6.537093038420864e-10
2.16,178.0,5.22,4.09,263.27,0.0,1497.11,0.0,4.753743102921588e-10,5.202092097104726e-10
2.87,193.0,1.88,5.34,280.74,0.0,897.98,0.0,4.206125009468156e-10,4.453077969568609e-10
3.59,192.0,3.59,6.03,273.32,0.0,618.08,0.0,3.3278018870501766e-10,3.3751291896681164e-10
4.3,190.0,0.97,5.11,272.18,0.0,518.18,0.0,2.7207472643621294e-10,2.7936337698087117e-10
5.03,195.0,0.99,8.42,273.73,0.0,418.28,0.0,2.449913170988974e-10,2.4183399174139414e-10
5.75,201.0,0.45,14.42,276.2,0.0,347.11,0.0,2.2770560711946327e-10,2.1615240592548421e-10
6.46,204.0,0.81,19.11,279.72,0.0,262.38,0.0,2.0877441320587197e-10,1.9809304195542003e-10
7.18,204.0,0.65,22.51,275.62,0.0,205.49,0.0,1.878388174526369e-10,1.7372875464992684e-10
7.91,206.0,0.66,25.8,271.43,0.0,160.87,0.0,1.7386309728035506e-10,1.5365129692068992e-10
8.62,206.0,1.54,28.49,267.09,0.0,129.11,0.0,1.5954258694751841e-10,1.3715118620724068e-10
11.49,206.0,1.9,33.07,245.58,0.0,52.63,0.0,1.196916535672418e-10,8.813676693039377e-11
14.3,206.0,0.42,45.73,225.03,0.0,25.15,0.0,9.617182513899359e-11,6.211980892901064e-11
17.19,203.0,4.19,47.26,208.52,0.0,9.46,0.0,7.769009526467678e-11,4.519709343562268e-11
20.07,200.0,1.23,44.56,190.41,0.0,3.58,0.0,6.458952247056166e-11,3.247815938970154e-11
22.96,194.0,4.09,40.45,175.86,0.0,1.78,0.0,5.312280895337577e-11,2.4135862272221717e-11
25.85,188.0,5.2,37.41,164.23,0.0,0.59,0.0,4.431029138273171e-11,1.8661440878696042e-11
28.74,184.0,1.16,38.46,154.38,0.0,0.15,0.0,3.8176695769276396e-11,1.5105328425971343e-11
31.62,182.0,2.47,40.22,146.2,0.0,0.09,0.0,3.394926413682774e-11,1.2611436646555514e-11
34.51,180.0,3.85,42.57,139.3,0.0,0.04,0.0,3.042632541139321e-11,1.0813037024400744e-11
37.4,181.0,8.43,40.57,133.34,0.0,0.01,0.0,2.8388013454115957e-11,9.129381581641764e-12
40.29,180.0,4.55,41.86,128.12,0.0,0.01,0.0,2.6061367335497134e-11,8.011157177754996e-12
43.17,179.0,0.44,42.92,123.52,0.0,0.0,0.0,2.405323354867319e-11,7.109686917364122e-12
45.92,179.0,1.96,44.68,119.59,0.0,0.0,0.0,2.2612763333976953e-11,6.4555776151059845e-12
48.81,179.0,2.99,44.56,115.83,0.0,0.0,0.0,2.1273880194554837e-11,5.772377041932897e-12
51.7,174.0,3.39,43.74,112.43,0.0,0.0,0.0,1.8978304406739266e-11,5.161075821889899e-12
54.59,172.0,4.84,41.74,109.32,0.0,0.0,0.0,1.756277972415999e-11,4.5816502667193386e-12
