Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
1.31,12.0,5.0,4.66,11.06,0.0,12.6,0.0,3.5623833416358937e-12,2.0502852024867685e-12,2.968652784696578e-12,0.36191206825270983
2.63,21.7,5.0,9.66,16.85,0.0,9.31,0.0,5.8024736115949324e-12,2.8991648018521934e-12,2.6739509730852224e-12,0.20013570594619898
3.93,28.6,5.0,13.79,23.41,0.0,7.16,0.0,6.745108977140036e-12,3.827732659980016e-12,2.358429712286726e-12,0.15185121744868943
5.24,29.5,5.0,16.46,24.18,0.0,3.64,0.0,5.382229345587911e-12,3.4836385895831573e-12,1.8244845239281053e-12,0.14721846844178024
6.55,28.6,5.0,18.52,23.59,0.0,2.39,0.0,4.047065386284022e-12,3.073715633236578e-12,1.4150578273720357e-12,0.15185121744868946
7.87,27.3,5.0,20.17,23.33,0.0,2.56,0.0,3.06902210548235e-12,2.7959374474143013e-12,1.1241839214221062e-12,0.15908222780338893
