Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.19,3.74,3.17,-1.81,3.43,0.0,14.37,0.0,2.385827599802659e-12,4.445581632835984e-13
0.38,5.4,3.17,-1.88,6.16,0.0,13.48,0.0,2.486871686717004e-12,1.3166433418453977e-12
0.57,7.31,3.17,1.42,8.66,0.0,11.74,0.0,3.0381509862500805e-12,2.2466105441992006e-12
0.75,8.85,3.17,4.71,10.45,0.0,8.8,0.0,3.384345812505678e-12,3.3179249606981758e-12
0.94,10.7,3.17,5.82,11.68,0.0,6.16,0.0,3.947200222420955e-12,3.5194725183468575e-12
1.13,12.4,3.17,6.52,12.49,0.0,4.5,0.0,4.409754191365627e-12,3.4561749609186902e-12
1.32,14.1,3.17,7.99,13.06,0.0,2.8,0.0,4.8810555351290395e-12,3.661145190905684e-12
1.51,15.9,3.17,8.69,12.91,0.0,1.01,0.0,5.425837167515871e-12,3.4092601081265422e-12
1.69,17.8,3.17,9.12,11.87,0.0,0.0,0.0,6.075790001367237e-12,2.9459038505603418e-12
