Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.12,4.2,3.15,-0.46,3.95,0.0,51.7,0.0,4.763945556241834e-12,2.0496983781706826e-12
0.36,9.41,1.83,-0.53,11.2,0.0,47.22,0.0,7.971245795704035e-12,5.620870615660232e-12
0.59,15.3,1.37,1.73,15.88,0.0,35.13,0.0,1.2858203796387074e-11,7.090171437729178e-12
0.83,18.4,1.64,4.19,19.68,0.0,28.17,0.0,1.321925586034944e-11,8.24670173166819e-12
1.07,23.4,2.08,6.57,22.21,0.0,17.57,0.0,1.658430942066106e-11,8.777573473332693e-12
1.31,28.1,2.46,9.69,23.33,0.0,11.56,0.0,1.953398271103554e-11,9.055394150578056e-12
1.54,33.1,2.01,12.94,22.77,0.0,7.62,0.0,2.3056040245932125e-11,8.979064087527798e-12
1.79,37.5,1.62,15.67,22.48,0.0,5.72,0.0,2.546003282964724e-11,9.020303603570809e-12
2.02,40.5,1.68,17.89,22.28,0.0,4.38,0.0,2.6315288269097014e-11,9.116718042243029e-12
2.26,42.3,1.69,19.31,22.0,0.0,2.95,0.0,2.5657937945722567e-11,8.817158100759466e-12
2.49,45.2,1.91,20.12,21.29,0.0,1.9,0.0,2.659052899823598e-11,8.218387862968011e-12
2.74,47.4,1.95,21.03,20.52,0.0,1.32,0.0,2.6573917071209844e-11,7.72105139214211e-12
2.97,48.1,1.74,22.14,19.83,0.0,0.93,0.0,2.5245452434496135e-11,7.494100786895787e-12
3.21,48.8,1.08,23.15,19.12,0.0,0.64,0.0,2.404274589496377e-11,7.256010938484966e-12
3.44,50.7,1.55,23.96,18.46,0.0,0.45,0.0,2.4216252200727873e-11,7.013530616193862e-12
3.69,52.1,2.78,24.56,17.79,0.0,0.31,0.0,2.3839576456535213e-11,6.687384512622111e-12
3.92,53.0,2.98,25.07,17.2,0.0,0.22,0.0,2.3222829146680742e-11,6.418933000330609e-12
4.16,53.7,2.39,25.27,16.63,0.0,0.15,0.0,2.246491065063941e-11,6.051932130908178e-12
4.4,51.2,2.21,25.47,16.1,0.0,0.1,0.0,1.930797377698607e-11,5.732687403545029e-12
4.64,51.6,1.45,25.68,15.61,0.0,0.07,0.0,1.8596485573872944e-11,5.4569306811167795e-12
4.87,51.5,1.84,26.18,15.18,0.0,0.05,0.0,1.7649603432849183e-11,5.327712053889557e-12
5.11,50.4,2.53,26.59,14.76,0.0,0.03,0.0,1.6109780667682757e-11,5.174826268141515e-12
5.35,48.5,4.6,26.69,14.37,0.0,0.02,0.0,1.4248828195905467e-11,4.940550157827098e-12
5.59,50.0,5.91,26.59,14.01,0.0,0.02,0.0,1.4493646198391909e-11,4.667928918525498e-12
5.82,49.0,7.42,26.28,13.7,0.0,0.01,0.0,1.3369606658410642e-11,4.36827758769372e-12
6.06,49.4,5.92,26.18,13.37,0.0,0.0,0.0,1.3050607505029437e-11,4.14333552004132e-12
