Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
3.54,223.0,8.0,-9.23,117.85,111.1,339.07,0.95,4.552562522893849e-10,1.4189271817460539e-10
4.23,230.0,6.13,-10.88,124.82,101.71,298.47,0.1,4.052889466640822e-10,1.1425538749664194e-10
4.97,248.0,5.1,-12.52,131.42,93.86,286.51,0.01,4.0104806730327236e-10,9.549962006212543e-11
5.74,258.0,6.6,-13.93,141.81,87.33,272.43,0.0,3.7581747849638696e-10,8.581608051976475e-11
6.47,263.0,7.0,-14.91,151.83,82.27,259.83,0.0,3.4646284807924737e-10,8.035185857401105e-11
7.22,272.0,6.25,-15.46,163.57,77.87,245.34,0.0,3.320856163274689e-10,7.802636977599325e-11
8.02,287.0,4.01,-16.0,173.43,73.88,221.13,0.0,3.328425802178937e-10,7.517541376684201e-11
8.79,289.0,7.25,-16.33,181.85,70.57,206.96,0.0,3.0793302284048373e-10,7.283137051446486e-11
9.5,292.0,6.93,-16.22,190.1,67.89,195.87,0.0,2.908650582938802e-10,7.17483054425923e-11
10.27,302.0,10.4,-15.46,200.43,65.29,182.8,0.0,2.8780139665194853e-10,7.204511030676446e-11
11.08,302.0,10.3,-13.5,209.52,62.86,157.0,0.0,2.667617638642158e-10,7.175644271254052e-11
11.82,304.0,10.4,-9.2,214.14,60.86,137.98,0.0,2.5338397534770153e-10,6.974005554351689e-11
12.56,303.0,10.4,5.72,217.36,59.04,121.99,0.0,2.3688909699998184e-10,6.733237169308689e-11
13.39,305.0,10.1,13.39,220.24,57.18,107.78,0.0,2.251482400661457e-10,6.467232249162189e-11
14.1,300.0,8.78,17.64,222.33,55.72,94.35,0.0,2.0685825255066581e-10,6.25166710454471e-11
14.93,295.0,9.72,21.66,222.27,54.15,78.95,0.0,1.889007486328242e-10,5.909307677065536e-11
15.64,294.0,5.32,24.38,221.26,52.91,70.86,0.0,1.7910485850832467e-10,5.601327671968336e-11
16.35,290.0,5.32,26.24,221.1,51.75,65.3,0.0,1.6669696531233774e-10,5.352892545087222e-11
17.18,291.0,4.03,27.98,220.98,50.48,55.24,0.0,1.5973948256876557e-10,5.089932843740755e-11
17.89,286.0,3.25,29.72,218.99,49.47,45.95,0.0,1.4817371872644126e-10,4.814012802933732e-11
18.72,287.0,3.61,31.57,215.15,48.36,40.15,0.0,1.425960199437771e-10,4.4627381235019905e-11
19.44,294.0,3.35,33.2,212.39,47.46,37.57,0.0,1.4409464954064805e-10,4.206630237106918e-11
20.26,290.0,3.75,35.16,210.49,46.49,34.32,0.0,1.345259320264917e-10,3.9833383960343406e-11
20.98,288.0,3.04,37.01,208.75,45.68,31.09,0.0,1.2812354500785412e-10,3.802846739336649e-11
21.69,290.0,6.4,38.65,206.74,44.93,28.12,0.0,1.2565677191593925e-10,3.6274061612868436e-11
22.52,294.0,4.19,40.5,204.38,44.09,25.48,0.0,1.2438721079352569e-10,3.4374410408540504e-11
23.23,297.0,4.12,41.91,202.43,43.41,23.71,0.0,1.2305893258205755e-10,3.287444868327336e-11
24.06,293.0,5.15,43.22,200.72,42.66,22.0,0.0,1.1563493818113593e-10,3.1365437215429936e-11
24.77,291.0,6.21,44.2,199.42,42.04,20.53,0.0,1.107922612245213e-10,3.0190091547232135e-11
25.95,297.0,4.0,45.18,197.86,41.07,18.46,0.0,1.1016026989908272e-10,2.8469207801540043e-11
28.92,292.0,4.0,43.33,193.43,38.91,10.08,0.0,9.554695898312109e-11,2.4255264111081046e-11
31.76,288.0,4.0,45.72,184.74,37.13,6.27,0.0,8.463576745166183e-11,2.053017152827792e-11
34.72,285.0,4.0,47.57,180.34,35.51,3.62,0.0,7.581575398244125e-11,1.8114420566330646e-11
