Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.44,15.7,9.1,-2.08,12.26,0.0,98.11,0.0,1.815499289050788e-11,5.2167266154941694e-12,2.104591532530213e-11,0.5034496541808396,0.1
1.32,44.5,9.1,-5.39,28.49,0.0,57.84,0.0,4.8617827188970776e-11,9.250655947474591e-12,1.9884145052567824e-11,0.17762156338515017,0.1
2.2,69.4,9.1,-6.26,35.84,0.0,38.81,0.0,7.094890791360828e-11,8.88364186661748e-12,1.8606197752560093e-11,0.11389278920229368,0.1
3.08,90.0,11.4,-3.53,40.15,0.0,24.49,0.0,8.522828652168665e-11,8.349745259158607e-12,2.1591165918827284e-11,0.11002126874882379,0.1
3.96,105.0,9.88,1.83,41.23,0.0,19.47,0.0,9.022624159548928e-11,6.983268450233426e-12,1.6979719370732077e-11,0.08173008535626909,0.1
4.84,113.0,16.2,8.4,42.44,0.0,16.02,0.0,8.549898916013377e-11,6.502562043715796e-12,2.4514754414056053e-11,0.12452337357225979,0.1
5.53,117.0,24.8,13.64,43.19,0.0,13.79,0.0,8.022247323737493e-11,6.556205799311031e-12,3.400884335533159e-11,0.18411116497778876,0.1
7.48,124.0,9.1,27.27,47.2,0.0,10.81,0.0,6.661794433480159e-11,8.048106662983608e-12,9.777795055591845e-12,0.06374322234386437,0.1
8.37,127.0,9.1,32.13,48.6,0.0,8.48,0.0,6.244985563652545e-11,8.569739034216756e-12,8.949506870746166e-12,0.06223747693416679,0.1
9.24,130.0,9.1,36.26,48.96,0.0,6.88,0.0,5.927399350685204e-11,8.815089423798037e-12,8.298359090959285e-12,0.06080122746645525,0.1
10.13,133.0,9.1,39.77,48.92,0.0,5.7,0.0,5.65904687661501e-11,8.888104654985622e-12,7.743958883788961e-12,0.0594297712078134,0.1
13.23,142.0,23.8,47.41,49.96,0.0,3.23,0.0,4.9393101740560944e-11,8.562978841156733e-12,1.6557124245427473e-11,0.14558040379292103,0.1
