Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.51,143.0,33.1,-3.74,195.66,0.0,5592.84,0.0,1.2994254058902128e-09,1.2154466600455627e-09,6.01552180908616e-10,0.20105101190206479
0.69,160.0,15.0,-4.96,213.36,0.0,4363.43,0.0,1.2023760843911167e-09,1.0678904696489809e-09,2.2544551582333436e-10,0.08143021535685971
0.86,178.0,7.92,-6.2,228.63,0.0,3675.14,0.0,1.193963383989608e-09,9.834407955651796e-10,1.0624932585615388e-10,0.03864732917610959
1.03,188.0,8.01,-7.39,242.31,0.0,2808.28,0.0,1.112059254605451e-09,9.219688581333768e-10,9.476164499350706e-11,0.03700743404303242
1.2,187.0,8.03,-8.46,244.99,0.0,2150.5,0.0,9.443900915885527e-10,8.085333411140557e-10,8.110644315995804e-11,0.03729823197522044
1.38,195.0,5.6,-9.15,248.08,0.0,2033.53,0.0,8.929755978314885e-10,7.206770000896089e-10,5.128885484980857e-11,0.024944093319571384
1.55,199.0,7.52,-9.58,251.75,0.0,1846.64,0.0,8.279877462046646e-10,6.60643413790205e-10,6.25775663463224e-11,0.032823060340828686
1.71,203.0,6.87,-9.77,258.35,0.0,1668.78,0.0,7.809899050291193e-10,6.306614936525812e-10,5.286109012364581e-11,0.029395104341628963
1.89,206.0,9.22,-9.95,262.92,0.0,1505.22,0.0,7.276492589881527e-10,5.909614310910856e-10,6.513520551330843e-11,0.038875680807261954
2.06,211.0,12.0,-9.95,270.25,0.0,1378.94,0.0,7.004016250889726e-10,5.729340473001385e-10,7.966653555514379e-11,0.04939842448188646
2.23,219.0,13.3,-9.95,275.1,0.0,1175.03,0.0,6.970000696223867e-10,5.484764990329366e-10,8.465845594500222e-11,0.052749923372723724
2.41,216.0,9.9,-10.14,276.83,0.0,926.08,0.0,6.273933549891861e-10,5.138800828709602e-10,5.751105754067539e-11,0.03981032750779808
2.58,214.0,10.5,-10.6,274.55,0.0,830.56,0.0,5.752508851280152e-10,4.720043202805401e-10,5.644985321349681e-11,0.04261768280359013
2.75,213.0,8.39,-11.16,274.06,0.0,769.64,0.0,5.346578749316902e-10,4.410982997466496e-10,4.2119995968797e-11,0.034213433832566024
2.92,210.0,13.3,-11.53,273.74,0.0,727.61,0.0,4.894464612577226e-10,4.1435197702996293e-10,6.199655175931154e-11,0.05501063437441191
3.09,214.0,6.67,-11.25,275.23,0.0,682.48,0.0,4.803065642816437e-10,3.9591220317619877e-10,2.994060545568751e-11,0.02707237564761392
3.26,213.0,9.98,-9.77,276.33,0.0,633.6,0.0,4.5101507854667113e-10,3.785914308364668e-10,4.226413599902139e-11,0.040697266942670916
3.43,212.0,11.2,-7.06,278.46,0.0,575.82,0.0,4.2464601868216214e-10,3.658409182101542e-10,4.4868258577737887e-11,0.04588771884260774
3.61,215.0,9.11,2.4,278.97,0.0,523.07,0.0,4.149723619900857e-10,3.493747739039027e-10,3.516649504864819e-11,0.036803932373382545
3.78,217.0,10.1,7.87,280.87,0.0,481.98,0.0,4.0371707932525595e-10,3.387035775058463e-10,3.758103687728189e-11,0.04042741260113219
3.95,219.0,8.05,10.51,281.76,0.0,430.64,0.0,3.9349624183744864e-10,3.2657873499734844e-10,2.892826252777591e-11,0.03192758519928016
4.12,220.0,8.29,12.28,282.78,0.0,369.64,0.0,3.807129068788467e-10,3.156854323222463e-10,2.8691909072960358e-11,0.03273001140889052
4.29,218.0,8.42,13.95,281.57,0.0,310.22,0.0,3.590088460980875e-10,3.009273953205733e-10,2.7732609946292628e-11,0.03354825263876495
4.46,220.0,9.71,15.63,279.92,0.0,258.02,0.0,3.516899498522082e-10,2.8645219151338355e-10,3.104463102786311e-11,0.03833635835709614
4.64,220.0,20.1,17.49,276.26,0.0,208.23,0.0,3.380468052458726e-10,2.686612589764597e-10,6.177037077674581e-11,0.0793574462386851
4.81,216.0,23.5,19.07,272.38,0.0,177.5,0.0,3.1434885353928044e-10,2.5238392121059635e-10,6.83999820201212e-11,0.09449926226598533
4.98,220.0,14.6,20.0,268.13,0.0,157.71,0.0,3.149673044861142e-10,2.365303488194586e-10,4.1804751322702424e-11,0.05764272214352251
5.15,218.0,12.2,20.46,264.51,0.0,143.45,0.0,2.990578543224845e-10,2.2277294075204892e-10,3.347253048380102e-11,0.04860910714880433
5.32,213.0,23.1,20.65,260.81,0.0,128.98,0.0,2.7637390151544136e-10,2.0978167756305913e-10,5.994588849771544e-11,0.09419908480718418
5.49,215.0,21.2,20.74,257.41,0.0,118.36,0.0,2.728688937676155e-10,1.9810725390944787e-10,5.3812284166264634e-11,0.0856469117799901
5.67,216.0,18.3,21.02,254.02,0.0,108.99,0.0,2.6666983871674403e-10,1.8693021051195816e-10,4.5185722671448295e-11,0.07358878721138433
5.84,208.0,31.7,21.3,251.09,0.0,100.28,0.0,2.400840328781645e-10,1.7744811559722096e-10,7.317946002151746e-11,0.13237629881089502
6.01,212.0,25.3,21.67,248.27,0.0,93.06,0.0,2.423520539234303e-10,1.6871780268625517e-10,5.784440532323384e-11,0.10365707917124783
6.19,213.0,23.8,22.04,245.66,0.0,85.94,0.0,2.375297505754682e-10,1.6052160650402494e-10,5.308176585630181e-11,0.097053602528614
6.35,216.0,19.6,22.51,243.33,0.0,77.79,0.0,2.3811306858644707e-10,1.53676450218003e-10,4.3213112447170025e-11,0.07881640597503459
6.64,210.0,25.0,23.63,238.82,0.0,62.26,0.0,2.152385040470708e-10,1.4191037256023732e-10,5.124726286835019e-11,0.10340344807220281
8.82,210.0,10.7,34.97,209.65,0.0,27.97,0.0,1.6203896449802155e-10,8.524301187521645e-11,1.6512542096465054e-11,0.044256675774902804
