Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.33,4.0,7.9,1.71,21.94,0.0,329.26,0.0,1.5712869284656633e-12,2.3923422897944603e-11,6.2065833674393704e-12,1.7154632035178445
0.99,17.0,8.6,2.41,47.32,0.0,226.54,0.0,9.460456715137017e-12,3.684010852905016e-11,9.571756205903334e-12,0.43940382874917233
1.76,33.3,7.9,-7.34,59.39,0.0,158.62,0.0,2.041856674343308e-11,3.1481785330618915e-11,9.688088725112393e-12,0.20606164606820956
2.42,44.9,10.5,-10.59,70.77,0.0,134.99,0.0,2.6997700232864168e-11,3.203347418704141e-11,1.2626986745883019e-11,0.203122140756532
3.19,53.0,7.9,0.97,81.19,0.0,93.5,0.0,2.853714428056066e-11,3.3493290906858286e-11,8.50729961571431e-12,0.1294689210202147
3.85,60.8,7.9,9.74,83.68,0.0,70.65,0.0,3.111686845308916e-11,3.0270046932296524e-11,8.086291473006723e-12,0.11285942128406871
4.62,69.0,7.9,11.43,87.03,0.0,55.35,0.0,3.339686190368314e-11,2.7481775760631343e-11,7.647397363452082e-12,0.09944714223291853
5.28,76.6,7.9,16.36,90.49,0.0,49.76,0.0,3.601414191401558e-11,2.6772456112172258e-11,7.428504467903996e-12,0.08958032394349058
5.94,85.0,7.9,17.72,93.96,0.0,36.24,0.0,3.941856964640423e-11,2.5796598783399117e-11,7.327216475449256e-12,0.08072768016554561
7.04,78.1,6.7,24.54,93.48,0.0,19.51,0.0,2.8078820688686854e-11,2.2885549213303773e-11,4.817620963231803e-12,0.07451403402693436
8.8,81.6,6.7,35.45,87.18,0.0,7.06,0.0,2.452150380563514e-11,1.8622986094093214e-11,4.026815575925379e-12,0.07131796639097518
10.56,84.5,6.7,33.35,79.1,0.0,1.49,0.0,2.191285447456436e-11,1.3014145623519578e-11,3.4749378693392005e-12,0.068870367544421
