Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.42,14.2,1.91,4.87,4.78,0.0,11.05,0.0,1.5558827048276697e-11,2.711536883486393e-12
1.26,28.6,1.82,13.14,10.76,0.0,5.81,0.0,2.1038316095365352e-11,5.929813333758044e-12
2.11,41.0,1.74,19.65,13.6,0.0,2.75,0.0,2.5818720314803246e-11,7.350924502953967e-12
2.96,49.0,1.91,22.42,13.29,0.0,1.0,0.0,2.6287537416199305e-11,6.470264573581138e-12
3.79,54.8,2.05,22.82,12.56,0.0,0.72,0.0,2.567860115810758e-11,5.127350641201956e-12
4.65,56.4,3.12,21.37,12.33,0.0,0.43,0.0,2.216943933374738e-11,3.712548591443147e-12
5.48,57.8,2.83,18.73,12.04,0.0,0.18,0.0,1.975716256034928e-11,2.5032873294356268e-12
6.33,56.5,0.65,16.75,10.62,0.0,0.0,0.0,1.6343408670420514e-11,1.7251118695336967e-12
