Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.64,12.4,8.6,1.18,13.56,0.0,67.54,0.0,7.785972244129935e-12,4.7259271641964855e-12
1.18,21.9,6.2,1.55,21.17,0.0,56.11,0.0,1.3172119959812902e-11,6.220289974629693e-12
1.8,32.3,1.88,1.6,27.72,0.0,46.3,0.0,1.8783736807904542e-11,6.963340030898134e-12
2.03,37.9,6.2,1.54,29.76,0.0,44.1,0.0,2.2931466896020016e-11,7.107370621685223e-12
2.78,53.1,9.5,1.46,36.4,0.0,37.67,0.0,3.286954566102637e-11,7.747696076070022e-12
3.0,62.4,11.0,1.62,38.08,0.0,35.56,0.0,4.2062722560254427e-11,7.860700293517369e-12
3.64,68.0,6.2,2.96,42.4,0.0,30.26,0.0,4.116858087026657e-11,8.080950824138873e-12
4.19,78.0,7.98,5.28,45.43,0.0,25.29,0.0,4.705704343703881e-11,8.197244538778665e-12
4.6,82.3,6.2,6.86,46.43,0.0,21.07,0.0,4.771899555846976e-11,7.925340196201592e-12
5.14,85.7,6.3,8.92,47.19,0.0,19.58,0.0,4.630714219323247e-11,7.521977669617772e-12
5.39,85.5,6.51,9.95,47.91,0.0,19.11,0.0,4.395344490618412e-11,7.495799540467939e-12
6.31,89.5,15.6,14.48,50.48,0.0,14.95,0.0,4.1140177983210055e-11,7.620636518576088e-12
9.1,95.2,15.5,26.69,51.31,0.0,7.98,0.0,3.2276167402289e-11,7.2248514313952535e-12
10.17,97.5,6.2,29.9,52.01,0.0,6.77,0.0,3.029268252230712e-11,7.158808318892597e-12
11.99,101.0,10.2,33.72,51.6,0.0,4.47,0.0,2.757230153201531e-11,6.671622311716654e-12
14.02,107.0,10.7,36.41,50.13,0.0,3.11,0.0,2.6464823174577015e-11,5.968850999891065e-12
15.94,117.0,11.7,38.69,49.27,0.0,2.41,0.0,2.7831259535927442e-11,5.511119115242868e-12
17.98,120.0,12.0,39.0,48.97,0.0,1.66,0.0,2.5955073290005677e-11,4.902679838944245e-12
