Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
9.93,377.0,10.3,-13.26,255.96,207.88,296.2,20.38,4.6385570967047943e-10,2.0505940972565425e-10
10.05,377.0,19.7,-13.37,257.66,206.72,291.07,19.35,4.5831713403262296e-10,2.0292370660980718e-10
10.35,378.0,10.8,-13.47,261.62,204.38,276.87,17.03,4.47396626151407e-10,1.9814437816575188e-10
15.07,367.0,10.7,-11.85,272.35,172.87,136.01,2.35,2.8964653071365656e-10,1.2443918206414126e-10
20.09,364.0,6.67,13.97,269.96,151.39,75.01,0.29,2.1373334634275622e-10,8.497586911232557e-11
25.12,375.0,6.19,27.34,262.34,134.72,44.66,0.03,1.8142300463801178e-10,6.174929290448176e-11
30.14,383.0,3.82,34.12,253.37,123.32,22.26,0.0,1.5772616896649157e-10,4.721153993601783e-11
35.17,378.0,2.21,36.15,235.34,114.11,10.73,0.0,1.3166207223960938e-10,3.5120616135126717e-11
40.19,364.0,4.0,36.15,219.18,106.71,6.11,0.0,1.0684008280731459e-10,2.685006653174357e-11
45.21,349.0,3.0,35.84,206.41,100.63,3.48,0.0,8.731036458669995e-11,2.1272248368908572e-11
50.24,338.0,3.08,37.87,194.11,95.47,1.63,0.0,7.369418574885339e-11,1.7193190501426745e-11
55.26,332.0,2.19,41.62,183.23,91.03,1.27,0.0,6.464199356796934e-11,1.426233975950127e-11
60.28,330.0,1.61,44.55,174.98,87.16,0.47,0.0,5.854692512884719e-11,1.2156421508038778e-11
65.31,329.0,2.2,46.17,166.27,83.74,0.25,0.0,5.3710793312602514e-11,1.0352628340301245e-11
70.33,330.0,3.53,46.48,159.17,80.69,0.13,0.0,5.018070022418469e-11,8.932785848404289e-12
75.35,332.0,13.4,44.86,152.96,77.96,0.07,0.0,4.7406988249050906e-11,7.726789214455067e-12
80.38,333.0,15.3,42.32,147.51,75.48,0.0,0.0,4.4708481548198844e-11,6.7164702163489914e-12
