Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.28,107.0,30.2,-1.6,13.69,91.46,618.49,5800.33,1.3251315032413203e-09,6.882720955932561e-10
0.55,121.0,15.6,-2.32,26.0,143.82,603.26,3274.79,8.626954469874667e-10,8.72744943294367e-10
0.83,134.0,8.69,-3.04,37.95,161.88,587.86,1870.98,7.011016015726446e-10,7.439913136107624e-10
1.39,157.0,12.5,-4.39,60.02,171.18,558.23,849.89,5.74690422433343e-10,5.197776971016466e-10
1.65,168.0,11.7,-4.98,69.62,173.79,544.98,599.88,5.543500283626861e-10,4.6236584411115744e-10
3.04,207.0,8.04,-7.06,115.86,156.1,470.23,10.13,4.5678997301156087e-10,2.528551221239687e-10
3.32,213.0,6.53,-7.33,124.12,149.78,462.95,3.88,4.428642036331771e-10,2.279575102878069e-10
3.59,218.0,11.2,-7.54,132.68,144.22,455.55,1.53,4.2901057096400984e-10,2.1037735847854364e-10
3.87,222.0,6.05,-7.69,142.15,138.97,450.84,0.59,4.127094742284493e-10,1.9731939236687133e-10
4.15,226.0,5.41,-7.79,153.48,134.27,445.2,0.23,3.988579349735397e-10,1.9005237102311746e-10
4.43,229.0,5.96,-7.83,164.2,129.95,417.46,0.09,3.8363364953682836e-10,1.8464696892625538e-10
4.7,232.0,7.41,-7.81,172.5,126.18,387.64,0.03,3.711312861762345e-10,1.7901584596993952e-10
4.97,234.0,6.1,-7.72,178.86,122.67,357.56,0.01,3.570465006057814e-10,1.7259856865221103e-10
5.25,235.0,3.89,-7.58,184.4,119.35,339.44,0.01,3.4089911673917104e-10,1.661459229183833e-10
5.52,236.0,9.03,-7.35,190.48,116.43,324.46,0.0,3.269899335754279e-10,1.6190072723740545e-10
5.8,237.0,10.0,-7.05,196.76,113.55,303.79,0.0,3.13847124030668e-10,1.5831244854737854e-10
6.08,237.0,7.36,-6.7,202.21,110.91,281.08,0.0,2.993936380555714e-10,1.546313943853631e-10
6.36,237.0,10.2,-6.27,207.12,108.43,256.11,0.0,2.862127860657035e-10,1.5103244098086628e-10
6.63,236.0,10.4,-5.76,210.37,106.22,231.86,0.0,2.72245012569587e-10,1.4660480313436952e-10
6.91,236.0,5.83,-5.16,212.88,104.02,209.52,0.0,2.6121337674911167e-10,1.4166770671760216e-10
7.19,235.0,5.43,-4.56,214.54,101.99,188.62,0.0,2.4891799205572295e-10,1.3645656951403453e-10
7.27,234.0,8.36,-4.39,214.82,101.43,183.32,0.0,2.440881854210088e-10,1.3487426004268443e-10
7.46,234.0,7.88,-3.95,215.36,100.13,171.57,0.0,2.3787146219983025e-10,1.3116282701219717e-10
8.02,231.0,8.17,1.42,216.46,96.57,142.56,0.0,2.1562496719648203e-10,1.2105449216200564e-10
8.29,229.0,5.82,3.82,216.57,94.99,129.68,0.0,2.0500567761738838e-10,1.164258557170172e-10
8.56,228.0,7.21,5.49,216.49,93.48,117.85,0.0,1.9680919463703627e-10,1.1199261482975949e-10
8.84,226.0,18.2,7.01,215.92,91.98,106.56,0.0,1.8724665499323414e-10,1.0734930203175516e-10
9.12,224.0,9.11,8.51,215.26,90.56,96.24,0.0,1.7829971672484057e-10,1.0298583045697489e-10
9.69,221.0,5.56,11.96,213.03,87.86,78.11,0.0,1.633466473694091e-10,9.443911039558294e-11
12.11,216.0,3.21,24.01,197.34,78.59,33.45,0.0,1.2485697650899578e-10,6.522098981333002e-11
14.58,220.0,1.89,33.03,180.81,71.62,16.19,0.0,1.0758142498908426e-10,4.6739474771879335e-11
14.68,220.0,7.66,33.34,180.14,71.38,15.84,0.0,1.0684858149460821e-10,4.6146530270447506e-11
15.2,221.0,9.52,34.96,176.93,70.15,14.51,0.0,1.041334876979983e-10,4.332203353153213e-11
15.5,221.0,13.6,35.77,175.4,69.47,13.84,0.0,1.0211800083932736e-10,4.1900828970842884e-11
15.71,221.0,8.15,36.68,174.35,69.0,13.25,0.0,1.0075296072626187e-10,4.1003972652916036e-11
16.02,221.0,4.11,37.49,172.9,68.33,12.42,0.0,9.880330917662759e-11,3.96924605464625e-11
16.32,221.0,5.37,38.3,171.46,67.7,11.67,0.0,9.698707187558664e-11,3.847325051055859e-11
16.53,221.0,5.06,39.11,170.51,67.27,11.18,0.0,9.575493121655015e-11,3.7709298417174163e-11
16.84,221.0,11.4,39.92,169.21,66.64,10.5,0.0,9.399222167515285e-11,3.65997162204328e-11
16.94,221.0,2.56,40.33,168.81,66.45,10.27,0.0,9.343736794625583e-11,3.628341043429165e-11
19.4,218.0,1.7,47.22,157.9,62.09,4.85,0.0,7.938906957529872e-11,2.9057680858667552e-11
21.77,216.0,1.13,52.28,148.59,58.61,2.49,0.0,6.945420236674041e-11,2.4082227807315203e-11
24.23,215.0,1.77,54.82,138.99,55.56,0.86,0.0,6.182625781197726e-11,1.98287836146392e-11
26.69,212.0,2.47,55.53,130.82,52.94,0.4,0.0,5.4572343352559616e-11,1.6516399879102417e-11
29.06,208.0,1.44,54.01,124.32,50.73,0.19,0.0,4.824813324186101e-11,1.388013093380008e-11
31.52,209.0,2.88,51.78,118.54,48.71,0.09,0.0,4.491131984922639e-11,1.1688087524243796e-11
36.34,220.0,4.09,47.22,109.34,45.37,0.02,0.0,4.3162828187695333e-11,8.604252989307287e-12
40.04,220.0,6.32,42.76,103.66,43.22,0.0,0.0,3.917425515336785e-11,6.886812429183189e-12
