Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
1.25,47.0,7.6,2.05,56.98,0.0,175.71,0.0,5.727105161218073e-11,4.219657193017665e-11
2.08,59.5,4.5,6.07,64.63,0.0,107.61,0.0,5.5159465775396225e-11,3.3114584270773656e-11
2.9,71.6,3.7,10.81,74.91,0.0,67.61,0.0,5.7289825781860504e-11,3.2660463609476365e-11
3.73,77.6,3.1,14.74,77.71,0.0,47.27,0.0,5.2319557901104894e-11,2.8121707200400202e-11
4.56,83.4,3.6,17.0,79.57,0.0,29.91,0.0,4.943297104841486e-11,2.4552402949874257e-11
5.39,89.7,3.8,19.26,79.39,0.0,14.66,0.0,4.837773995762101e-11,2.1178304165585776e-11
6.22,93.8,2.4,21.62,73.38,0.0,7.84,0.0,4.5842125620513594e-11,1.6463036873006407e-11
7.04,99.0,3.0,23.59,69.52,0.0,5.24,0.0,4.511772417741788e-11,1.3685862959693209e-11
7.87,103.0,2.5,27.03,65.95,0.0,3.23,0.0,4.36866931222239e-11,1.1963796511287564e-11
8.7,100.0,2.3,28.5,62.8,0.0,2.03,0.0,3.7250336666211854e-11,1.0371126983596706e-11
9.54,98.3,2.0,29.19,59.81,0.0,1.06,0.0,3.2825255548391774e-11,8.97048437825353e-12
10.34,98.4,1.7,29.29,56.87,0.0,0.59,0.0,3.034723396692386e-11,7.757192462900635e-12
11.21,94.5,1.8,30.27,54.18,0.0,0.37,0.0,2.581710013752822e-11,6.892102870969853e-12
11.98,94.9,2.4,31.35,52.09,0.0,0.22,0.0,2.4362680044387765e-11,6.328734871424689e-12
12.85,95.3,1.6,32.24,49.97,0.0,0.13,0.0,2.290509663934376e-11,5.770145862697785e-12
13.72,96.9,1.8,32.83,48.07,0.0,0.08,0.0,2.2179047834406242e-11,5.274938383391383e-12
14.49,97.2,1.3,33.03,46.57,0.0,0.05,0.0,2.113068613309852e-11,4.865336433967525e-12
15.36,100.0,1.8,33.12,45.03,0.0,0.03,0.0,2.109882350234656e-11,4.453507700157705e-12
16.13,104.0,2.7,32.83,43.81,0.0,0.02,0.0,2.1731102789964056e-11,4.093602415089179e-12
17.0,104.0,3.2,33.52,42.53,0.0,0.01,0.0,2.061898164718354e-11,3.8660416158289715e-12
17.78,105.0,3.4,32.34,41.49,0.0,0.01,0.0,2.0095383392471174e-11,3.475153705880623e-12
18.65,109.0,3.9,31.65,40.42,0.0,0.0,0.0,2.0645414876150073e-11,3.160169379657074e-12
19.52,110.0,3.8,29.88,39.42,0.0,0.0,0.0,2.0088847033053903e-11,2.772232002467358e-12
20.29,107.0,3.8,29.39,38.61,0.0,0.0,0.0,1.8286684125557898e-11,2.570163425926684e-12
21.16,106.0,3.8,29.0,37.75,0.0,0.0,0.0,1.720859929205832e-11,2.379325095135322e-12
21.93,106.0,4.0,27.91,37.04,0.0,0.0,0.0,1.6604375787503604e-11,2.164877362503563e-12
22.8,108.0,3.4,27.03,36.29,0.0,0.0,0.0,1.6579144578113363e-11,1.9744631894662017e-12
23.67,109.0,3.2,25.65,35.58,0.0,0.0,0.0,1.62668773738994e-11,1.767423678142173e-12
24.44,110.0,3.3,26.24,34.99,0.0,0.0,0.0,1.6044774717070872e-11,1.7247306050848204e-12
25.31,110.0,2.7,25.85,34.35,0.0,0.0,0.0,1.5493255396491987e-11,1.611021667311242e-12
26.08,110.0,2.4,25.26,33.82,0.0,0.0,0.0,1.5035824159709054e-11,1.5035374327614359e-12
26.95,113.0,2.5,26.83,33.25,0.0,0.0,0.0,1.5354920502228106e-11,1.530357489387472e-12
27.73,114.0,2.2,30.76,32.76,0.0,0.0,0.0,1.5188304238126853e-11,1.7329186644626699e-12
28.6,112.0,1.7,31.75,32.24,0.0,0.0,0.0,1.4214103291350924e-11,1.7311781779146588e-12
29.47,113.0,1.8,34.6,31.75,0.0,0.0,0.0,1.4041910673058957e-11,1.870778884038649e-12
30.24,115.0,1.6,37.45,31.33,0.0,0.0,0.0,1.4173050962211212e-11,2.029009635420751e-12
