Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.59,45.3,4.31,4.24,45.76,0.0,180.6,0.0,1.1271814869720172e-10,5.849696701057145e-11
1.18,59.8,4.31,11.75,48.85,0.0,41.99,0.0,9.821318959381442e-11,3.656103694324968e-11
1.77,60.7,4.31,15.81,45.2,0.0,16.24,0.0,6.746112365009214e-11,2.328007577717321e-11
2.36,58.8,4.31,19.15,42.05,0.0,6.57,0.0,4.747796588254573e-11,1.7176456374536627e-11
2.95,57.9,4.31,20.97,38.14,0.0,2.06,0.0,3.682854542188558e-11,1.2821079845693637e-11
3.54,56.9,4.31,21.99,34.5,0.0,0.42,0.0,2.9639489934940083e-11,9.875085684940385e-12
4.13,55.9,4.31,22.39,31.16,0.0,0.0,0.0,2.4520144147848074e-11,7.74322534519534e-12
