Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.37,183.0,47.6,-2.62,11.2,123.59,213.07,8848.49,2.9332556119320238e-09,9.414023503018175e-10,1.5259340669722876e-09,0.22592805834529817
0.74,196.0,40.7,-3.79,21.14,191.42,200.63,5187.42,1.6824023946367555e-09,1.1324429015167971e-09,6.987120149154689e-10,0.18036515728022806
1.11,205.0,14.1,-4.87,30.05,218.87,188.92,3807.55,1.2269707176629468e-09,9.915219179061575e-10,1.6878328896631756e-10,0.05974197263254488
1.48,211.0,7.89,-5.72,38.06,240.05,177.89,2861.06,9.748833430292457e-10,8.984045681017182e-10,7.290833721801657e-11,0.03247946409684035
1.84,214.0,1.48,-6.31,45.23,258.74,167.77,2139.16,8.066017845816733e-10,8.427000443113147e-10,1.1156734964307257e-11,0.006007063861839371
2.21,214.0,1.5,-6.65,51.92,273.65,157.98,1447.96,6.715598568462801e-10,7.877974661403903e-10,9.414390516536637e-12,0.0060882404005128754
2.6,213.0,2.64,-6.69,58.41,280.2,148.27,808.78,5.655035215623646e-10,7.05736228899731e-10,1.4018115464081149e-11,0.01076560969224962
2.96,211.0,4.5,-6.41,63.99,275.3,139.85,573.6,4.874416715146228e-10,6.028214608951167e-10,2.0791350917685333e-11,0.01852440918070742
3.17,210.0,8.68,-6.08,66.97,274.94,135.15,462.34,4.5084658260963723e-10,5.635063611741188e-10,3.7269984162396675e-11,0.03590167717066881
3.33,209.0,3.0,-5.72,69.15,273.2,131.68,390.24,4.251065470413261e-10,5.314188114498966e-10,1.2204015704535677e-11,0.012467784169471342
3.7,207.0,1.6,-4.34,74.09,268.56,123.99,254.51,3.753085183662554e-10,4.660850233196472e-10,5.801870815323755e-12,0.0067137311212096895
4.07,206.0,1.73,0.84,78.64,262.81,116.75,150.84,3.3790100724511265e-10,4.0960581832849327e-10,5.675424684796552e-12,0.007294460715462384
4.44,205.0,3.45,5.14,83.02,255.92,109.94,84.07,3.067426794157367e-10,3.5998278755913767e-10,1.0324509697407723e-11,0.01461771670796311
4.81,205.0,2.77,7.67,87.31,248.41,103.48,50.43,2.8314708869144935e-10,3.1710868110460176e-10,7.651877421222582e-12,0.011736543559726902
5.18,206.0,7.48,9.9,90.63,241.01,89.73,30.04,2.654936485497314e-10,2.8069016640010183e-10,1.928050962283486e-11,0.03153905557899343
5.55,207.0,5.02,12.08,91.17,233.88,79.83,17.93,2.5020567891083696e-10,2.487038780221545e-10,1.2135579788718856e-11,0.021064331392795402
5.92,208.0,7.7,14.21,91.98,227.13,78.76,10.75,2.3683965405548666e-10,2.2194800021530902e-10,1.7535243617569684e-11,0.032154495294759985
6.28,210.0,1.95,16.44,93.75,220.9,77.91,6.52,2.2757701701792196e-10,2.0034297266637072e-10,4.2264303160471225e-12,0.00806546894963182
6.34,210.0,4.78,16.75,94.14,219.93,77.94,6.01,2.2542329130481862e-10,1.9715682447305748e-10,1.026212697559079e-11,0.01977073927140518
6.65,212.0,1.96,18.67,96.53,214.9,75.88,3.89,2.1902794647816784e-10,1.8194659092004253e-10,4.049950708464235e-12,0.008030350797456353
7.03,214.0,0.76,20.8,99.17,209.22,70.88,2.31,2.1111625656191734e-10,1.6591633024830602e-10,1.4995173363276372e-12,0.0030847084695931905
7.39,215.0,2.22,22.73,101.39,204.19,67.18,1.39,2.027131565337225e-10,1.5279510519341824e-10,4.186262395394083e-12,0.008968686044885757
7.77,216.0,1.76,24.56,103.08,199.24,63.61,0.82,1.9459690933384024e-10,1.4057366545691865e-10,3.171208892847767e-12,0.007077391556941881
8.14,217.0,1.53,26.28,105.18,194.76,60.05,0.49,1.874754987530058e-10,1.3048346836406334e-10,2.643663715134552e-12,0.006124152601953689
8.51,218.0,7.7,27.91,106.86,190.42,56.59,0.29,1.809809576687186e-10,1.2136867486283542e-10,1.2784893339900305e-11,0.0306795184463765
8.88,218.0,6.86,29.33,108.2,186.31,53.33,0.18,1.7344008443252196e-10,1.1317859705189725e-10,1.0915586965202759e-11,0.027332661888589977
9.25,218.0,8.37,30.55,109.65,182.7,50.25,0.11,1.665024810552211e-10,1.061937392805462e-10,1.2785557490203677e-11,0.033349034986515765
9.52,218.0,3.93,31.16,110.49,180.08,48.1,0.07,1.6178024682361294e-10,1.0135990029535803e-10,5.832994220337604e-12,0.01565850746678697
9.62,218.0,4.05,31.36,110.78,179.14,47.33,0.06,1.6009853947617416e-10,9.966020055471459e-11,5.948615457600967e-12,0.016136629832185046
9.99,217.0,20.2,32.17,111.77,175.79,44.58,0.04,1.527578137987455e-10,9.379335029048787e-11,2.8439703582807915e-11,0.08085482520226438
10.4,217.0,4.2,33.08,112.69,172.23,41.71,0.02,1.4673563075475648e-10,8.789998537140397e-11,5.680088932442186e-12,0.016811399299480712
10.71,216.0,3.16,34.0,113.45,169.76,39.66,0.01,1.4117814990886447e-10,8.401325899423171e-11,4.130768089926035e-12,0.012707134840872924
11.12,215.0,6.72,35.01,114.16,166.6,37.11,0.01,1.3471674701296845e-10,7.91858915851142e-11,8.421363162113005e-12,0.027148455054789324
12.67,212.0,1.82,39.99,115.88,156.1,28.84,0.0,1.1495941942224279e-10,6.489317598959177e-11,1.973831541023414e-12,0.007456754311923758
12.98,211.0,16.6,41.0,116.15,154.24,27.43,0.0,1.1115773094632383e-10,6.261693818796715e-11,1.7490221172596926e-11,0.06833448719994294
15.86,209.0,8.38,52.47,115.82,139.51,17.17,0.0,8.92562926637841e-11,4.716981876722566e-11,7.157585957153213e-12,0.03482667711338996
19.05,215.0,13.2,66.17,112.66,127.33,10.22,0.0,7.863780718027345e-11,3.755162741860133e-11,9.655991207252181e-12,0.05332732242905045
22.14,215.0,13.9,76.32,108.18,118.11,6.19,0.0,6.766261186920548e-11,3.13848821510339e-11,8.748933069599592e-12,0.05615528649725768
25.34,210.0,10.6,79.67,102.95,110.4,3.68,0.0,5.640030256008485e-11,2.5806491937187982e-11,5.693744829875232e-12,0.043843061982613986
28.53,196.0,12.8,78.35,97.69,104.04,2.19,0.0,4.363749639085872e-11,2.1000222162014006e-11,5.699591365336649e-12,0.05672417722817983
31.72,185.0,11.5,74.49,92.71,98.67,1.3,0.0,3.4967109457407234e-11,1.7022643149389708e-11,4.347262256866846e-12,0.05399336802040428
34.91,182.0,10.8,72.76,88.3,94.06,0.78,0.0,3.07498061302347e-11,1.4282786548873224e-11,3.649427540731151e-12,0.051542641808298026
38.0,181.0,10.3,70.63,85.07,90.15,0.0,0.0,2.7939781662735177e-11,1.2192123059493973e-11,3.179886752775385e-12,0.04942799075804965
