Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.49,211.0,40.1,64.37,73.17,233.76,3509.72,10533.68,2.9445456075169054e-09,2.9809241930196414e-09
0.98,233.0,17.4,75.6,130.38,272.92,2885.72,1394.2,1.7952925191087943e-09,2.194290673940477e-09
1.47,227.0,14.4,68.11,176.13,246.78,2383.47,5.62,1.1360143947780345e-09,1.38405787502862e-09
1.97,234.0,10.8,61.94,213.49,213.16,1967.84,0.0,9.007721360460576e-10,9.612378980367927e-10
2.46,245.0,7.67,60.52,244.17,190.74,1571.81,0.0,7.907633206498978e-10,7.764615794482717e-10
2.95,244.0,23.3,69.43,261.9,174.18,1161.8,0.0,6.540441891765566e-10,6.630239006045757e-10
3.44,261.0,23.3,75.4,273.58,161.3,867.89,0.0,6.417590872424259e-10,5.776929429590647e-10
3.93,259.0,22.7,73.37,276.37,150.91,643.49,0.0,5.53167215139531e-10,4.907762354358598e-10
4.42,258.0,22.7,68.82,276.54,142.3,560.73,0.0,4.880525625722311e-10,4.190128277332106e-10
4.92,258.0,22.5,65.78,278.71,134.88,482.38,0.0,4.384537249124515e-10,3.682201788047913e-10
5.74,261.0,22.4,61.84,282.13,124.87,387.42,0.0,3.846082334693284e-10,3.0791703147686606e-10
6.56,263.0,22.4,59.41,284.24,116.81,278.87,0.0,3.417095468098675e-10,2.6418743931919067e-10
7.37,264.0,22.3,58.09,281.24,110.2,208.81,0.0,3.0647130718192973e-10,2.2612128506714163e-10
8.19,265.0,22.2,58.09,279.02,104.54,169.08,0.0,2.778800068833593e-10,1.976541254797754e-10
9.01,265.0,22.2,58.19,277.3,99.67,124.55,0.0,2.525901505410336e-10,1.7548261380021403e-10
9.83,264.0,22.0,57.28,272.35,95.42,80.7,0.0,2.297755375311111e-10,1.540993622709606e-10
10.65,264.0,21.9,55.06,264.11,91.67,49.29,0.0,2.120838998996077e-10,1.3325543361024237e-10
11.47,265.0,22.0,51.82,254.75,88.34,31.13,0.0,1.984165001198529e-10,1.1470398557473917e-10
