Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.09,11.2,2.02,0.32,12.72,0.0,658.83,0.0,4.5169261570292943e-11,2.9167589748184326e-11,1.6293197923569953e-11,0.15665622382938724,0.1
0.26,26.5,1.03,0.96,26.94,0.0,391.72,0.0,8.753220216825818e-11,4.5346404782199645e-11,6.804390055343843e-12,0.03376025029134712,0.1
0.43,33.7,1.03,1.6,35.34,0.0,269.11,0.0,8.559350306546887e-11,4.725642559712911e-11,5.2321251132007684e-12,0.026547377825540022,0.1
0.6,32.7,1.12,2.25,40.03,0.0,185.65,0.0,5.7755548116029844e-11,4.354867117704005e-11,3.956343357183695e-12,0.029749836069213574,0.1
0.77,33.7,1.03,2.89,43.26,0.0,148.52,0.0,4.7798969244352744e-11,3.9733885936076034e-11,2.9218361021770523e-12,0.026547377825540026,0.1
0.94,35.7,2.24,3.55,45.85,0.0,129.01,0.0,4.393979571554968e-11,3.667299458985264e-11,5.514013579990548e-12,0.05449969968981983,0.1
1.11,37.8,3.35,4.2,48.05,0.0,100.97,0.0,4.1716712438442e-11,3.421916225206608e-11,7.394232098877285e-12,0.07697812245375098,0.1
1.28,41.8,3.35,4.86,48.94,0.0,87.29,0.0,4.4237650051487994e-11,3.0918588987538163e-11,7.090723812080612e-12,0.069611794946215,0.1
1.46,43.9,2.14,5.23,50.17,0.0,78.88,0.0,4.277850859866194e-11,2.8542549846002067e-11,4.170660974994831e-12,0.04234123878236714,0.1
1.63,44.9,1.25,5.36,51.3,0.0,68.73,0.0,4.008247519235048e-11,2.673294182507258e-11,2.2317636521353274e-12,0.02418120723292048,0.1
2.05,53.2,1.6,5.65,53.95,0.0,54.74,0.0,4.474235696398835e-11,2.351104355384044e-11,2.691269591818848e-12,0.026122976355082813,0.1
2.74,64.3,0.9,9.45,56.61,0.0,33.95,0.0,4.8901348783023724e-11,2.000824666690362e-11,1.3689335584672273e-12,0.012157543816887299,0.1
3.42,73.1,2.4,11.66,56.83,0.0,23.05,0.0,5.063584977083468e-11,1.659032668805815e-11,3.3249258399453685e-12,0.02851728472141735,0.1
4.11,76.2,4.4,15.23,58.16,0.0,15.08,0.0,4.5784405110457045e-11,1.5164999596266304e-11,5.2874378605252225e-12,0.050154743316910964,0.1
4.79,78.4,3.8,19.76,56.9,0.0,8.6,0.0,4.158589635177283e-11,1.3594105683031417e-11,4.031285870835121e-12,0.04209997528653971,0.1
5.48,83.1,3.1,23.04,53.88,0.0,3.37,0.0,4.083860925646651e-11,1.1723393708218452e-11,3.0469239156449144e-12,0.032402235713600014,0.1
6.16,88.0,3.0,26.02,50.76,0.0,1.42,0.0,4.074122535950256e-11,1.0339607417718346e-11,2.7778108199660833e-12,0.029610987402494435,0.1
6.85,89.9,2.4,27.47,47.3,0.0,0.0,0.0,3.823651186752278e-11,8.862447471128887e-12,2.041549020735365e-12,0.023188136964800984,0.1
7.53,90.6,2.8,29.11,43.89,0.0,0.0,0.0,3.532733478424914e-11,7.792323181658793e-12,2.1835880219844946e-12,0.026843809035962587,0.1
8.21,91.6,2.6,31.03,41.41,0.0,0.0,0.0,3.312052750203458e-11,7.18519432936414e-12,1.8802046180194303e-12,0.024654271898437875,0.1
8.9,92.3,1.4,32.1,39.37,0.0,0.0,0.0,3.1021504041760674e-11,6.574079005257935e-12,9.410640446037907e-13,0.013174697175829954,0.1
9.57,90.9,1.0,32.38,37.7,0.0,0.0,0.0,2.7981132209903815e-11,5.957037943881631e-12,6.156464732652105e-13,0.00955543414528607,0.1
10.31,89.6,2.7,32.77,36.11,0.0,0.0,0.0,2.523520336031885e-11,5.424891490753692e-12,1.5208716310906448e-12,0.026173997793276334,0.1
10.96,89.4,2.7,32.48,34.88,0.0,0.0,0.0,2.363273245064612e-11,4.918112029150812e-12,1.4274804835960744e-12,0.026232552598182995,0.1
