Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.63,265.0,15.0,-0.69,39.69,345.22,482.94,6648.99,3.6124400894836707e-09,4.33189133411793e-09,4.089554818283401e-10,0.04916541304565115,0.1
1.72,250.0,15.0,-2.33,81.63,298.99,314.38,709.44,1.1776087536193427e-09,1.2417236833128966e-09,1.4131305043432112e-10,0.052115337828390215,0.1
2.79,233.0,7.29,-3.94,104.82,255.24,206.27,199.44,6.306045407622288e-10,5.933450215595849e-10,3.946014679962788e-11,0.027176023803216355,0.1
3.91,230.0,6.45,-5.06,118.95,225.3,132.93,74.66,4.3845837452405827e-10,3.529300702304464e-10,2.4591795788523268e-11,0.024358255724138907,0.1
5.03,228.0,5.37,-3.48,122.96,203.41,76.78,26.96,3.3492777457117904e-10,2.3523296386246277e-10,1.5776860960063433e-11,0.020457555858074225,0.1
6.14,228.0,5.16,1.4,120.03,186.27,47.7,9.82,2.7437894236042845e-10,1.6622516186813261e-10,1.2419257391050972e-11,0.019657539707199818,0.1
7.26,227.0,5.94,-1.38,115.88,172.25,31.38,3.55,2.30019443570759e-10,1.2267298879607538e-10,1.2038021980707565e-11,0.022728715616786924,0.1
8.37,226.0,3.0,5.96,113.5,160.83,22.99,1.29,1.977611027646583e-10,9.518307709958186e-11,5.250294763663494e-12,0.011529941997431462,0.1
9.5,223.0,3.92,11.22,109.97,151.12,14.94,0.47,1.6964285611625503e-10,7.559089355776325e-11,5.9641255244459164e-12,0.01526846967767486,0.1
10.65,219.0,2.9,16.09,105.99,142.79,9.9,0.16,1.459446155171758e-10,6.131042288273734e-11,3.865199863011962e-12,0.011501862991045025,0.1
11.74,216.0,2.55,18.57,102.02,136.04,6.36,0.06,1.2879199195263532e-10,5.1078718008663414e-11,3.0409220322150004e-12,0.01025417526716011,0.1
12.82,214.0,2.55,19.07,97.84,130.19,4.05,0.02,1.1576811884791567e-10,4.301136734171235e-11,2.7589598417026633e-12,0.01035000868087189,0.1
14.01,214.0,3.07,17.78,93.27,124.54,2.46,0.01,1.0593485250751457e-10,3.590747129252468e-11,3.0394392261501843e-12,0.012460598686383018,0.1
15.09,214.0,3.61,20.16,89.43,120.01,1.62,0.0,9.835303403779185e-11,3.1112701297291586e-11,3.3182659147329775e-12,0.014652365230567654,0.1
16.18,214.0,4.46,23.24,85.93,115.89,1.06,0.0,9.172727340112972e-11,2.7307119799539382e-11,3.823398498776061e-12,0.018102368124191616,0.1
17.36,214.0,5.07,23.44,82.48,111.88,0.66,0.0,8.549235504782713e-11,2.3732553207823913e-11,4.050899440116669e-12,0.02057825255373352,0.1
18.44,214.0,4.78,23.34,79.67,108.55,0.43,0.0,8.04852106090173e-11,2.1030938432243716e-11,3.5955075393560997e-12,0.019401192742967695,0.1
19.53,214.0,4.87,22.64,77.35,105.49,0.0,0.0,7.599320448695744e-11,1.8740729559307563e-11,3.4587561294531097e-12,0.01976648716699847,0.1
