Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.87,39.6,4.9,0.0,48.19,0.0,254.81,0.0,5.841448794648678e-11,4.325278327844872e-11
1.74,73.0,5.2,5.93,61.19,0.0,156.18,0.0,9.925352204712148e-11,3.552327975092952e-11
2.61,89.4,6.6,7.31,74.23,0.0,134.66,0.0,9.923936691918832e-11,3.487230683622705e-11
3.5,102.0,5.3,13.47,83.56,0.0,89.27,0.0,9.633447923642378e-11,3.400575357408718e-11
4.37,110.0,4.4,16.7,88.18,0.0,79.83,0.0,8.973324807441925e-11,3.090046863039205e-11
5.24,116.0,4.4,20.91,99.34,0.0,68.87,0.0,8.32212330643274e-11,3.3220745476837544e-11
6.11,123.0,4.4,24.68,106.44,0.0,37.78,0.0,8.02450898163852e-11,3.3276805479381206e-11
6.98,130.0,3.9,28.34,102.6,0.0,19.69,0.0,7.846585959932847e-11,2.8166623115025316e-11
7.85,134.0,6.1,30.6,97.1,0.0,11.87,0.0,7.41292139242414e-11,2.3327686660605427e-11
8.72,134.0,4.9,30.07,92.41,0.0,8.09,0.0,6.673329464510262e-11,1.9229152581685678e-11
