Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.35,14.4,2.82,-0.61,15.45,0.0,54.27,0.0,1.9200228387605573e-11,1.1016719007345589e-11
0.69,24.4,3.97,-1.22,17.95,0.0,43.05,0.0,2.7962758812620908e-11,7.496666937558851e-12
1.03,29.2,3.26,-2.04,20.19,0.0,30.93,0.0,2.6827359745552055e-11,6.2819659055050516e-12
1.38,32.9,3.73,-1.72,21.43,0.0,26.57,0.0,2.5419216748159933e-11,5.322957674047504e-12
1.72,37.8,3.41,3.47,22.82,0.0,24.96,0.0,2.6921831864343385e-11,5.132812185529533e-12
2.07,42.0,3.12,3.53,25.15,0.0,21.49,0.0,2.761707568835846e-11,5.146453796479547e-12
2.41,45.1,2.92,4.13,26.82,0.0,19.73,0.0,2.735177379075691e-11,5.065742791438974e-12
2.76,47.6,2.79,6.88,28.98,0.0,17.35,0.0,2.6604449579785315e-11,5.4864819957200926e-12
3.1,52.3,2.78,9.39,30.06,0.0,14.95,0.0,2.8595068335599572e-11,5.644955587868273e-12
3.45,57.3,2.78,11.99,30.89,0.0,12.04,0.0,3.084179198531647e-11,5.832051457868309e-12
3.79,61.4,2.93,14.78,31.14,0.0,11.79,0.0,3.223643348807184e-11,6.0138106628666205e-12
4.14,64.5,3.42,16.87,32.08,0.0,10.85,0.0,3.2566309277917595e-11,6.255800728122481e-12
4.48,66.4,4.53,18.27,32.77,0.0,9.51,0.0,3.189389789791058e-11,6.298753671073008e-12
4.82,66.9,5.46,19.32,33.02,0.0,8.75,0.0,3.009224937331909e-11,6.175113986538616e-12
5.17,69.4,4.77,19.78,33.86,0.0,8.46,0.0,3.019102464408863e-11,6.045891280007957e-12
5.51,70.2,4.44,19.55,34.37,0.0,6.93,0.0,2.8984918279667156e-11,5.7219513810859e-12
5.86,70.9,4.24,19.78,34.15,0.0,6.35,0.0,2.7799968843969272e-11,5.388540229851696e-12
6.2,72.3,4.38,20.48,34.36,0.0,6.28,0.0,2.7323376088092357e-11,5.277949878232346e-12
6.55,73.9,3.51,21.53,34.78,0.0,5.87,0.0,2.7020727123854668e-11,5.286008381979397e-12
6.89,75.0,3.22,22.81,35.14,0.0,5.48,0.0,2.6457740937630517e-11,5.351311638295781e-12
7.25,75.5,3.23,24.09,35.58,0.0,5.16,0.0,2.5480347789788894e-11,5.423483478104301e-12
7.58,77.1,2.98,25.37,36.1,0.0,4.85,0.0,2.541493511745869e-11,5.53772180080343e-12
7.94,77.0,2.79,26.77,36.68,0.0,4.42,0.0,2.4199723438508055e-11,5.670727438172183e-12
8.27,77.0,2.82,28.28,37.11,0.0,4.01,0.0,2.3234075465750177e-11,5.832362106523154e-12
8.63,78.2,2.93,29.91,37.49,0.0,3.56,0.0,2.2964244664122393e-11,5.998476490347054e-12
8.97,79.6,3.14,31.07,37.76,0.0,3.14,0.0,2.289196890287144e-11,6.063377741649349e-12
9.3,80.3,3.39,32.12,37.98,0.0,2.76,0.0,2.2469716700861243e-11,6.108466826166742e-12
9.66,81.2,3.66,33.05,38.12,0.0,2.36,0.0,2.211996252753282e-11,6.102024073391865e-12
9.99,82.3,3.9,33.75,38.33,0.0,2.09,0.0,2.197271066756365e-11,6.078186826877304e-12
10.35,83.8,4.1,34.21,38.96,0.0,1.89,0.0,2.1988577890811335e-11,6.0408905630604674e-12
10.69,79.0,2.78,34.56,38.32,0.0,0.0,0.0,1.8920209119404163e-11,5.8467563090348725e-12
