Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.28,11.9,7.89,0.95,6.22,0.0,68.0,0.0,1.6390241258974877e-11,2.343395930358637e-12,2.1734286308119626e-11,0.5758963802044801
0.87,34.8,7.89,2.93,17.64,0.0,60.24,0.0,4.5111647716249205e-11,6.115376595391e-12,2.0455798878230242e-11,0.19693008403544005
1.46,58.5,8.68,4.98,27.33,0.0,50.99,0.0,7.596408852785675e-11,8.84033203972053e-12,2.2542505587069968e-11,0.12887781548445215
2.05,81.5,14.2,7.2,35.16,0.0,39.39,0.0,1.0500520116458379e-10,1.0591069070687817e-11,3.6590769485572757e-11,0.1513369728349982
2.35,91.8,17.5,8.24,37.71,0.0,33.19,0.0,1.1621627601500485e-10,1.0741730511758413e-11,4.4309037696352615e-11,0.16558068482150123
4.76,114.0,8.68,16.62,45.06,0.0,10.8,0.0,8.84814446477432e-11,8.79249429300903e-12,1.3474016483200193e-11,0.06613466847228466
7.86,116.0,8.68,34.33,41.16,0.0,3.01,0.0,5.5480822042884935e-11,8.351899306176133e-12,8.302991988486919e-12,0.0649944155675901
8.7,117.0,16.6,39.57,40.09,0.0,2.22,0.0,5.0991985862377405e-11,8.826053608070223e-12,1.4469520774623332e-11,0.12323569913835862
10.18,118.0,51.9,39.57,38.11,0.0,1.34,0.0,4.43267296988301e-11,7.29643613747636e-12,3.899249612490309e-11,0.3820319256064198
10.47,118.0,40.3,39.57,37.78,0.0,1.24,0.0,4.3098959726274154e-11,7.055579212797464e-12,2.9438780965573704e-11,0.2966452139101872
