Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.75,169.0,4.27,0.0,53.73,163.04,1391.81,4469.43,1.2341319640074649e-09,8.664065960082993e-10
1.55,203.0,4.92,0.16,99.45,214.33,1172.91,2105.83,8.616082178063187e-10,7.75723825717654e-10
2.3,232.0,5.49,0.0,134.15,231.92,999.07,1340.93,7.583987152296968e-10,6.57299529779835e-10
3.06,256.0,4.38,1.12,162.98,250.27,849.17,745.19,6.940774887151857e-10,6.050200861906162e-10
3.85,248.0,3.47,10.81,187.48,252.3,717.13,308.69,5.177165959733152e-10,5.239955789112661e-10
4.61,253.0,5.68,18.83,206.85,245.12,606.7,124.46,4.499762290045059e-10,4.485540838743979e-10
5.36,269.0,8.42,25.11,220.81,233.77,503.2,47.18,4.375112503746767e-10,3.8250222147159964e-10
6.12,268.0,4.67,29.26,232.37,221.48,437.22,17.54,3.8033616294463726e-10,3.2932793494395706e-10
6.91,260.0,5.58,31.48,243.48,209.61,380.24,6.29,3.1704295224504364e-10,2.879073243399771e-10
7.66,245.0,8.47,32.44,254.23,199.62,318.5,2.38,2.5395271133142936e-10,2.591883092862683e-10
8.42,247.0,6.0,32.35,258.51,190.58,235.35,0.89,2.348179378874061e-10,2.304907971497894e-10
8.86,267.0,10.3,32.44,258.41,185.85,200.23,0.5,2.607583688510036e-10,2.1441220149648692e-10
9.21,255.0,7.27,32.44,257.39,182.29,180.71,0.32,2.288074628986721e-10,2.0211030496396998e-10
10.82,253.0,11.2,33.51,252.03,168.18,131.46,0.04,1.9171815302317672e-10,1.5779072585744082e-10
11.56,271.0,11.3,34.86,249.34,162.76,112.34,0.02,2.0588760539271974e-10,1.4253824716187098e-10
12.4,276.0,8.71,37.47,246.01,157.16,103.42,0.01,1.9908838967098855e-10,1.2794269127267681e-10
14.17,275.0,10.1,44.03,245.22,146.96,81.02,0.0,1.729597274546631e-10,1.0777394316033994e-10
16.88,275.0,10.0,57.16,236.05,134.67,50.98,0.0,1.4519190391188247e-10,8.413407288901334e-11
19.49,276.0,11.7,67.4,232.49,125.34,36.11,0.0,1.2666475279221438e-10,7.077775665442138e-11
22.19,267.0,15.7,77.25,219.85,117.47,17.62,0.0,1.041153288877824e-10,5.811789890360142e-11
24.8,257.0,15.1,79.95,209.2,111.12,12.8,0.0,8.631057714620827e-11,4.824276397461224e-11
27.51,254.0,13.6,78.21,199.59,105.5,9.61,0.0,7.600222343550968e-11,3.9848347843480076e-11
30.12,248.0,11.6,75.51,191.82,100.83,6.7,0.0,6.617559410681485e-11,3.3586931432114954e-11
35.43,227.0,11.2,77.83,176.46,92.96,3.71,0.0,4.7133535431095414e-11,2.5314911404707972e-11
