Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
1.25,34.1,18.8,1.71,29.4,0.0,81.19,0.0,3.014728452927111e-11,1.1280610850054976e-11,3.3241580595325325e-11,0.478870161863996
3.75,78.4,6.54,4.27,49.15,0.0,28.11,0.0,5.31190516066645e-11,1.0596001410297702e-11,8.862209120091475e-12,0.07245627325630782
6.25,96.9,2.44,7.23,50.52,0.0,15.91,0.0,4.868744580608858e-11,6.888123934553096e-12,2.45195805504347e-12,0.021871590007098745
8.76,108.0,1.26,11.57,51.47,0.0,10.69,0.0,4.3151198217007384e-11,5.395547358240973e-12,1.0068612917301723e-12,0.010133537911075874
11.25,113.0,1.0,13.37,53.63,0.0,8.58,0.0,3.6783565114226435e-11,4.657634600310066e-12,6.510365506942733e-13,0.007686627998287643
13.74,114.0,0.86,16.66,57.25,0.0,6.03,0.0,3.065296044565194e-11,4.51995980790976e-12,4.624832628642222e-13,0.006552513235733272
16.22,121.0,0.68,23.15,57.75,0.0,3.5,0.0,2.9252928227071934e-11,4.402532231433815e-12,3.2879324288279196e-13,0.00488132640816878
18.71,126.0,0.55,30.33,55.23,0.0,2.13,0.0,2.749899091791117e-11,4.235158719650268e-12,2.400705556325578e-13,0.0037914597626474357
21.3,128.0,0.63,35.52,52.6,0.0,1.35,0.0,2.4928135158080614e-11,4.024424674751903e-12,2.45386330462356e-13,0.0042750863062351345
23.79,129.0,0.61,39.51,50.52,0.0,0.8,0.0,2.266910809761729e-11,3.864926000095533e-12,2.1439001456661313e-13,0.0041072811466819166
26.28,129.0,0.65,42.0,47.75,0.0,0.59,0.0,2.052123598334533e-11,3.581173642464955e-12,2.0680315332053432e-13,0.004376611057939747
28.77,131.0,0.73,44.9,45.88,0.0,0.38,0.0,1.9330904899204364e-11,3.4564901553915782e-12,2.1544367292243034e-13,0.004840228576937005
31.25,131.0,0.83,45.1,43.92,0.0,0.25,0.0,1.7796804286403506e-11,3.1095854923670985e-12,2.255167566063345e-13,0.0055032735874763206
33.74,131.0,0.75,43.0,42.1,0.0,0.17,0.0,1.6483406459695007e-11,2.6272067924707232e-12,1.8874129534001918e-13,0.004972837579044868
36.23,127.0,1.24,42.3,40.43,0.0,0.11,0.0,1.4427416275951365e-11,2.3315921671361638e-12,2.8173222334141247e-13,0.008480711142677672
38.82,126.0,1.4,42.4,38.83,0.0,0.07,0.0,1.3253635241476507e-11,2.1301691110001223e-12,2.9452522758836686e-13,0.00965098848673893
41.31,130.0,1.62,41.7,37.43,0.0,0.05,0.0,1.3258090050915342e-11,1.9137091580842016e-12,3.304323981920439e-13,0.010823954779742583
43.8,132.0,2.01,40.21,36.18,0.0,0.03,0.0,1.2892086380883687e-11,1.6805736540393863e-12,3.9262263069054863e-13,0.013226241039780848
46.28,134.0,2.1,38.81,35.02,0.0,0.02,0.0,1.2573775481964021e-11,1.4841314718765263e-12,3.941034106287231e-13,0.01361221510443028
48.77,129.0,2.66,37.11,33.97,0.0,0.01,0.0,1.1057988141117804e-11,1.2985262041988037e-12,4.560348597732304e-13,0.017910439098645734
51.26,132.0,4.67,35.72,33.04,0.0,0.01,0.0,1.1015867801067217e-11,1.1517469120306445e-12,7.79456100469453e-13,0.03072962470436645
53.75,125.0,5.95,34.72,32.1,0.0,0.0,0.0,9.420870028954741e-12,1.0374614190323163e-12,8.968668267564914e-13,0.04134483467718957
