Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
1.08,34.6,0.9,2.87,22.18,0.0,66.02,0.0,3.592343828489842e-11,7.62822731219111e-12
1.61,47.0,0.8,4.22,29.63,0.0,54.33,0.0,4.4465102183370134e-11,9.194490407536409e-12
2.15,59.1,3.1,5.53,34.54,0.0,44.47,0.0,5.2648494473333455e-11,9.452323676137814e-12
2.7,64.4,1.4,7.02,38.17,0.0,37.92,0.0,4.978029035559369e-11,9.335303002023264e-12
3.22,67.4,2.3,8.74,41.49,0.0,33.35,0.0,4.5720753190250455e-11,9.43144924469127e-12
3.77,69.8,0.7,10.74,44.33,0.0,29.03,0.0,4.1881183904134795e-11,9.437992152867111e-12
4.31,71.3,1.1,12.87,46.65,0.0,25.59,0.0,3.822533008951031e-11,9.427194986882145e-12
4.85,73.2,1.7,14.02,48.71,0.0,22.37,0.0,3.580386231471666e-11,9.240513839593074e-12
5.38,75.1,3.0,14.25,50.36,0.0,19.55,0.0,3.397402900217422e-11,8.861707967909675e-12
5.92,78.5,3.8,15.4,51.67,0.0,17.02,0.0,3.373393949249775e-11,8.605880919341446e-12
6.46,81.4,5.0,17.47,52.6,0.0,14.83,0.0,3.324036214257928e-11,8.471080511056882e-12
6.99,83.5,7.0,20.12,53.23,0.0,13.01,0.0,3.23254984326561e-11,8.445178046786866e-12
7.53,87.1,7.2,23.34,53.67,0.0,11.5,0.0,3.265057159780706e-11,8.54304733707506e-12
8.07,90.7,4.8,25.63,54.09,0.0,10.34,0.0,3.303623100503914e-11,8.51261138342856e-12
8.62,93.1,1.4,27.36,54.75,0.0,9.41,0.0,3.2586787681501086e-11,8.449150918741266e-12
9.14,95.9,2.1,29.31,55.29,0.0,8.09,0.0,3.260922470645622e-11,8.46562517930978e-12
9.69,98.4,5.2,31.5,55.46,0.0,6.86,0.0,3.2382910136015766e-11,8.461998469569936e-12
10.23,101.0,8.2,33.45,55.35,0.0,5.8,0.0,3.2315923300964176e-11,8.39724166628871e-12
10.76,103.0,9.4,35.18,54.98,0.0,4.92,0.0,3.1952999523410975e-11,8.279747135228695e-12
11.3,104.0,9.4,36.44,54.45,0.0,4.17,0.0,3.10197069028425e-11,8.05971728582005e-12
11.84,105.0,8.9,37.01,53.82,0.0,3.57,0.0,3.017701999308594e-11,7.713373040031012e-12
12.38,105.0,8.4,37.01,53.2,0.0,3.12,0.0,2.8860736406957797e-11,7.290078301710125e-12
12.91,105.0,9.0,36.33,52.54,0.0,2.63,0.0,2.7675903696215144e-11,6.778010057855864e-12
13.48,106.0,8.4,35.29,51.7,0.0,2.23,0.0,2.701290512017463e-11,6.207075873514228e-12
14.01,108.0,7.7,34.03,50.9,0.0,1.96,0.0,2.698104899221875e-11,5.675286696472755e-12
14.54,107.0,9.2,32.65,50.18,0.0,1.79,0.0,2.551835081895253e-11,5.1822127010430016e-12
