Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
3.23,194.0,16.7,-7.97,37.15,248.5,78.56,371.12,3.77616004201086e-10,4.399946378530213e-10
9.18,172.0,8.1,-15.63,83.53,176.71,55.52,1.14,1.0443923149693834e-10,8.861953479795722e-11
10.64,170.0,10.7,-16.24,92.09,164.32,54.39,0.17,8.802492620287261e-11,6.96806842704137e-11
11.58,170.0,6.8,-16.14,99.29,157.52,52.22,0.05,8.087955222785531e-11,6.167426241546252e-11
12.52,171.0,6.8,-16.04,107.74,151.54,52.54,0.01,7.56897980972308e-11,5.5967461913517644e-11
13.57,172.0,12.1,-16.04,120.8,145.51,47.48,0.0,7.065233199277036e-11,5.2206519525809706e-11
15.76,174.0,19.6,-15.53,131.65,135.02,27.3,0.0,6.225750874545812e-11,4.356536957336361e-11
24.94,193.0,23.2,18.69,111.71,107.35,3.42,0.0,4.840248106324623e-11,1.9044053436695836e-11
26.3,194.0,23.0,21.04,108.26,104.53,2.78,0.0,4.637641420416379e-11,1.7191360704184692e-11
34.96,201.0,7.2,34.22,92.64,90.67,0.0,0.0,3.745158011833277e-11,1.0397958247770046e-11
36.84,202.0,17.1,37.39,88.8,88.32,0.0,0.0,3.5894885490647506e-11,9.501560027066036e-12
47.38,205.0,16.0,54.35,75.25,77.88,0.0,0.0,2.8744987264792552e-11,6.8611154150537165e-12
64.59,204.0,16.0,61.29,63.17,66.7,0.0,0.0,2.0880673623005616e-11,4.448438231593278e-12
