Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.31,3.1,4.5,1.0,4.05,0.0,29.26,0.0,1.0046415798877336e-12,9.61910336830594e-13,2.916701360964388e-12,1.2608549474610535
1.47,15.7,8.5,4.69,16.67,0.0,21.05,0.0,5.434147531852699e-12,3.5481142949308938e-12,5.8841087924519666e-12,0.4702551714875975
2.52,28.0,10.0,7.69,21.39,0.0,16.18,0.0,1.0082424457654674e-11,3.702489385932863e-12,7.201731755467625e-12,0.3102103442166084
3.35,36.0,11.0,9.58,24.52,0.0,12.24,0.0,1.2537462566533487e-11,3.795983793535634e-12,7.661782679548241e-12,0.2654021833853205
4.09,43.6,4.5,11.47,24.68,0.0,10.94,0.0,1.50625716358024e-11,3.4556065080223777e-12,3.109246438583064e-12,0.08964794351213913
4.82,49.8,4.5,13.0,26.85,0.0,11.55,0.0,1.6674817988119226e-11,3.5598901531878884e-12,3.013521323154077e-12,0.07848695456082863
6.6,61.5,4.5,16.38,35.05,0.0,8.67,0.0,1.8571874953716427e-11,4.333587989026616e-12,2.717835359080453e-12,0.06355529003462221
7.86,68.1,12.2,18.53,38.67,0.0,7.08,0.0,1.9121463667828745e-11,4.49852057848299e-12,6.8511558516155864e-12,0.15560624608574664
9.43,73.4,12.2,20.89,42.63,0.0,4.37,0.0,1.85152628541031e-11,4.622494131908683e-12,6.15493751553291e-12,0.14437037273078124
11.43,77.6,11.0,23.34,39.29,0.0,0.82,0.0,1.7073661502285325e-11,3.733013827754569e-12,4.8404710444623344e-12,0.1231247242509219
22.85,78.9,11.0,36.96,26.56,0.0,0.0,0.0,8.829116693065458e-12,2.437687801822987e-12,2.4618576330474027e-12,0.12109605325565957
