Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.87,47.8,8.2,3.06,22.47,153.43,149.17,3961.96,8.511105922842749e-11,6.235836540400446e-10,2.92012839193768e-11,0.14900480132245458,0.1
1.74,98.9,8.2,12.07,39.91,217.64,130.84,2479.37,1.8217668275145902e-10,6.351016203624532e-10,3.020927802956449e-11,0.07201647627111557,0.1
2.61,146.0,7.7,14.22,54.38,259.32,114.76,1223.98,2.6467605879232394e-10,6.053627243737557e-10,2.791788565343691e-11,0.04580914398157588,0.1
3.5,164.0,6.4,13.58,67.47,273.94,99.78,265.76,2.490399993793593e-10,5.091792360624378e-10,1.9437268244242675e-11,0.033896154685131845,0.1
4.37,174.0,5.95,15.41,76.15,256.31,85.76,44.82,2.2452593542984442e-10,3.642965978600272e-10,1.5355509377098556e-11,0.029701749049705153,0.1
5.24,175.0,6.0,20.15,86.2,236.55,77.15,7.58,1.8940623235694313e-10,2.677376876412907e-10,1.298785593304753e-11,0.029780193044794408,0.1
6.11,184.0,6.4,23.71,98.08,219.32,66.37,1.29,1.7957417944500877e-10,2.0708574878587057e-10,1.2492116830957132e-11,0.030211790045443603,0.1
6.98,185.0,6.4,21.44,106.18,205.28,49.85,0.22,1.5890497306432054e-10,1.652643509220857e-10,1.0994506244450286e-11,0.03004848307222499,0.1
7.85,188.0,6.65,24.46,114.52,193.65,30.1,0.04,1.4591350729218023e-10,1.3791242594885993e-10,1.0322604505244665e-11,0.030724024517623662,0.1
8.72,190.0,7.35,27.91,106.83,183.73,8.06,0.01,1.341652894123527e-10,1.1192206540114304e-10,1.0380156601903077e-11,0.03360067833672527,0.1
9.6,191.0,6.4,30.71,97.81,175.09,4.44,0.0,1.2315298883025677e-10,9.177501370700296e-11,8.253184591765899e-12,0.029104551666814783,0.1
10.47,191.0,5.55,32.87,91.79,167.63,3.82,0.0,1.1291964591886006e-10,7.726801179644982e-11,6.562345914656265e-12,0.025239103398565936,0.1
11.35,189.0,5.95,33.95,87.56,161.03,3.27,0.0,1.0199460530103662e-10,6.606461905674546e-11,6.421882555991194e-12,0.02734446737909363,0.1
12.19,186.0,6.85,32.87,84.33,155.43,2.45,0.0,9.197538992245371e-11,5.728429860990874e-11,6.7745314082667516e-12,0.031988357000400806,0.1
13.12,183.0,6.4,32.44,81.01,149.82,1.62,0.0,8.272138539747323e-11,4.951546742924154e-11,5.7859766835391115e-12,0.03037688179432581,0.1
13.94,179.0,6.85,31.36,78.12,145.35,1.12,0.0,7.44891027472182e-11,4.376087172854582e-11,5.701121271714466e-12,0.03323929833561201,0.1
14.86,177.0,7.25,30.5,75.23,140.78,0.75,0.0,6.832461263470414e-11,3.84560822530644e-11,5.5972140293966665e-12,0.0355777965400969,0.1
15.79,177.0,8.55,31.36,72.41,136.57,0.5,0.0,6.430042709003822e-11,3.419547382919993e-11,6.212075159546065e-12,0.04195726350590738,0.1
16.72,178.0,12.0,33.41,69.87,132.72,0.36,0.0,6.141199223869995e-11,3.07939069675744e-11,8.280268616453926e-12,0.058556559357741816,0.1
