Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.23,13.1,2.19,2.45,11.6,0.0,35.93,0.0,2.41804406065265e-11,1.0325756883327186e-11
0.47,17.3,2.39,4.75,13.88,0.0,9.96,0.0,2.0636868801962923e-11,8.19777186275763e-12
0.7,23.6,2.21,6.71,13.02,0.0,2.76,0.0,2.578549190480517e-11,6.008603880028738e-12
0.93,26.2,2.21,7.8,11.93,0.0,1.21,0.0,2.3920435868821914e-11,4.599901141763841e-12
1.17,27.4,2.24,8.39,10.78,0.0,0.32,0.0,2.079527743359567e-11,3.559214939115749e-12
1.4,26.9,2.23,8.84,9.72,0.0,0.1,0.0,1.6750430728630485e-11,2.9024604508273624e-12
1.64,27.4,2.21,9.23,8.89,0.0,0.03,0.0,1.4835655242260325e-11,2.4643547709311644e-12
1.87,31.0,2.2,9.41,8.25,0.0,0.01,0.0,1.6654486083700397e-11,2.1243455553840166e-12
2.1,32.5,2.19,9.55,7.73,0.0,0.0,0.0,1.630034821438431e-11,1.868524541000736e-12
2.33,33.0,2.19,10.05,7.3,0.0,0.0,0.0,1.514681822646742e-11,1.7754393751726358e-12
2.57,36.5,2.2,10.65,6.92,0.0,0.0,0.0,1.6799720657781264e-11,1.7321864424549323e-12
2.8,38.9,2.21,11.28,6.62,0.0,0.0,0.0,1.7514212962003657e-11,1.7263006270184725e-12
3.26,41.5,2.21,12.0,6.11,0.0,0.0,0.0,1.7120957460534824e-11,1.6170698344161594e-12
3.73,42.7,2.2,12.41,5.7,0.0,0.0,0.0,1.5841502604804167e-11,1.4792298137575397e-12
4.21,44.7,2.22,13.14,5.36,0.0,0.0,0.0,1.5380923257665173e-11,1.439678865171676e-12
4.67,46.7,2.24,13.55,5.09,0.0,0.0,0.0,1.5134439284115212e-11,1.3640179797560429e-12
5.14,48.5,2.27,13.86,4.84,0.0,0.0,0.0,1.483097876422067e-11,1.2850408656753527e-12
5.61,50.0,2.32,13.86,4.63,0.0,0.0,0.0,1.4441975445456465e-11,1.1716373191981444e-12
6.07,50.2,2.4,13.76,4.45,0.0,0.0,0.0,1.3454519673594538e-11,1.0637382847372863e-12
6.54,50.1,2.57,13.55,4.29,0.0,0.0,0.0,1.2437902791427493e-11,9.554082456424164e-13
7.0,51.6,3.24,13.34,4.14,0.0,0.0,0.0,1.2326813294681494e-11,8.635537905308363e-13
