Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.36,9.31,3.23,2.82,9.53,0.0,30.89,0.0,7.802725272626092e-12,4.803811642590693e-12,5.41413590345484e-12,0.3013471915247053
0.72,15.9,3.23,5.91,14.9,0.0,16.96,0.0,1.1379186281873564e-11,6.568569002773954e-12,4.623241722069385e-12,0.17644920459717023
1.08,21.4,3.23,7.85,16.55,0.0,9.0,0.0,1.3742104478058138e-11,5.958645338238705e-12,4.148317520011942e-12,0.13110010995771057
1.45,26.1,3.23,9.57,17.31,0.0,4.91,0.0,1.5225181104234104e-11,5.395404695830023e-12,3.768378158365989e-12,0.1074920441798853
1.8,29.7,3.23,11.59,16.91,0.0,2.03,0.0,1.5881438910451092e-11,4.992639248786116e-12,3.454346645168823e-12,0.09446270549141435
2.17,31.1,3.23,14.33,15.67,0.0,1.39,0.0,1.4444765608491374e-11,4.900347268352249e-12,3.0004239816994946e-12,0.09021036505128639
2.53,32.1,3.23,16.45,15.47,0.0,0.0,0.0,1.3198938293154657e-11,4.999035913038986e-12,2.6562349337625883e-12,0.0874000733051404
