Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.41,33.2,11.6,2.21,28.95,0.0,455.28,0.0,8.712479425770696e-11,3.350929030639334e-11,6.088238634875909e-11,0.3034828909685374
0.98,50.4,11.8,4.41,47.6,0.0,284.5,0.0,8.400099919577438e-11,3.810654124203524e-11,3.933380121071975e-11,0.20336011454199887
1.78,53.9,9.75,6.75,62.09,0.0,213.32,0.0,5.289406966846036e-11,3.592433974885885e-11,1.9136073442207365e-11,0.15711952499282764
2.69,67.6,5.1,8.55,75.48,0.0,152.2,0.0,5.505421400776795e-11,3.5199413432233544e-11,8.306996788154336e-12,0.06552964076054982
3.36,81.7,5.06,9.18,82.21,0.0,142.61,0.0,6.438049188917852e-11,3.340620803582943e-11,7.974670476358465e-12,0.05379510595912984
4.39,102.0,5.35,9.29,86.87,0.0,105.73,0.0,7.6804254516511e-11,2.8491562491092196e-11,8.056916895359486e-12,0.04555834270945876
5.65,116.0,6.44,9.5,92.23,0.0,92.69,0.0,7.718217013399568e-11,2.4913484768883636e-11,8.569882339016071e-12,0.04822166316305071
6.34,132.0,9.1,10.22,96.19,0.0,89.82,0.0,8.90652024420671e-11,2.4181664810792163e-11,1.2280202154891071e-11,0.05987999674726654
6.89,137.0,5.25,11.87,100.53,0.0,87.61,0.0,8.828183816149105e-11,2.443066571140923e-11,6.7661262824500444e-12,0.0332853435035339
8.34,154.0,4.2,17.23,113.81,0.0,78.45,0.0,9.215626096007384e-11,2.631960022647364e-11,5.026705143276755e-12,0.02368878992199555
10.04,163.0,3.28,24.23,128.72,0.0,58.05,0.0,8.576122007466006e-11,2.863606841067069e-11,3.451494501164233e-12,0.017478354609112463
11.65,170.0,2.41,30.75,133.41,0.0,39.79,0.0,8.039358066940468e-11,2.7385771570471336e-11,2.279394463685474e-12,0.01231352589866867
13.36,175.0,2.18,36.2,132.99,0.0,23.18,0.0,7.428807316993878e-11,2.4629946982315946e-11,1.8508342801196177e-12,0.010820136806275303
15.06,177.0,2.23,39.42,128.51,0.0,15.89,0.0,6.741724726106928e-11,2.1113152975954047e-11,1.698762275617904e-12,0.010943239487505666
16.67,178.0,2.03,40.49,124.23,0.0,10.92,0.0,6.159619137558865e-11,1.818877471409019e-11,1.4049468369937634e-12,0.009905817958017989
