Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
1.17,123.0,6.2,2.58,183.66,0.0,2905.87,0.0,4.19057691263345e-10,4.673412641741787e-10
1.56,142.0,6.2,3.43,210.66,0.0,2304.03,0.0,4.1889149745360343e-10,4.611999271744476e-10
1.96,205.0,6.2,4.28,232.37,0.0,1870.29,0.0,6.94866069696873e-10,4.4670218606302524e-10
2.73,228.0,6.2,5.96,264.64,0.0,1313.72,0.0,6.171013575432345e-10,4.161099638922991e-10
3.52,238.0,6.2,7.61,281.54,0.0,825.59,0.0,5.21507676421928e-10,3.6541902115534094e-10
10.59,229.0,4.2,23.2,269.17,0.0,159.49,0.0,1.604813094851888e-10,1.1250762966159802e-10
17.65,225.0,6.9,37.46,243.6,0.0,48.01,0.0,9.295436348682539e-11,5.705558404026573e-11
24.61,220.0,4.0,47.21,226.69,0.0,36.25,0.0,6.373576498743798e-11,3.677048250713896e-11
31.67,222.0,2.4,59.26,219.45,0.0,15.29,0.0,5.043213341534887e-11,2.8233663904159475e-11
38.74,219.0,4.1,61.77,202.4,0.0,5.94,0.0,4.012158377020966e-11,2.0326740657002426e-11
45.8,214.0,4.7,58.45,183.36,0.0,2.13,0.0,3.240496252467858e-11,1.4312390356120538e-11
52.86,216.0,2.6,58.96,169.7,0.0,1.2,0.0,2.8604199499128618e-11,1.0959135120423535e-11
59.82,216.0,8.8,66.89,158.21,0.0,0.0,0.0,2.5276128143161796e-11,9.204135067308275e-12
