Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.7,41.3,3.05,2.87,20.97,0.0,87.42,0.0,7.896806895846583e-11,1.0560651082396507e-11
1.4,68.7,3.07,6.75,32.22,0.0,61.1,0.0,1.0925338290738106e-10,1.3070217970847866e-11
2.09,83.8,3.05,14.14,40.91,0.0,42.17,0.0,1.0889080438751067e-10,1.607602754885591e-11
2.79,88.7,3.05,20.18,46.75,0.0,29.93,0.0,9.138869825028238e-11,1.742370312393532e-11
3.49,90.1,3.05,24.08,50.1,0.0,17.39,0.0,7.538303347762657e-11,1.70382476139682e-11
4.19,91.6,3.05,26.71,49.34,0.0,9.83,0.0,6.489726271878375e-11,1.4932659393436413e-11
4.89,92.7,3.05,28.08,47.94,0.0,4.64,0.0,5.6950830807002196e-11,1.284122807079245e-11
5.59,91.5,3.05,29.25,45.47,0.0,1.75,0.0,4.853777175379467e-11,1.0953271356720834e-11
