Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.22,12.4,7.0,0.92,38.29,0.0,1846.57,0.0,2.265010107383254e-11,1.0811069570395276e-10,2.5572694760778676e-11,0.49033247956818754
0.78,37.5,4.0,2.67,85.69,0.0,705.48,0.0,5.842751123726739e-11,1.5283668652985142e-10,1.2464535730617043e-11,0.0926494894726937
1.33,56.5,4.0,3.9,104.0,0.0,403.21,0.0,7.7784794649445e-11,1.321460650609497e-10,1.1013776233549735e-11,0.06149302398630114
2.33,69.1,4.0,5.34,114.45,0.0,121.25,0.0,6.641246936264362e-11,9.14917454873895e-11,7.688853182361057e-12,0.05028011367910296
3.44,85.5,7.5,7.09,107.32,0.0,35.98,0.0,6.886891512916639e-11,5.4726392655790805e-11,1.2082265812134455e-11,0.07619201436899155
3.78,87.1,8.4,7.29,103.7,0.0,25.02,0.0,6.50420116749966e-11,4.655395825394414e-11,1.2545416718024603e-11,0.08376747756572481
4.77,105.0,4.0,8.42,92.03,0.0,8.51,0.0,7.490480434342506e-11,2.925300534414311e-11,5.707032711880005e-12,0.0330891033831049
5.44,112.0,6.7,8.94,86.43,0.0,6.64,0.0,7.472855774496993e-11,2.2727132702428035e-11,8.940738158773189e-12,0.05196023265628191
6.11,116.0,4.0,9.45,81.42,0.0,6.17,0.0,7.137140118773741e-11,1.8054538954884967e-11,4.9221655991543045e-12,0.029951343579534606
7.22,124.0,4.0,10.47,76.23,0.0,5.4,0.0,6.901692847982215e-11,1.3533742759658278e-11,4.452705063214332e-12,0.02801899883246786
9.33,135.0,4.0,11.28,68.45,0.0,2.8,0.0,6.330461153218527e-11,8.579345407472794e-12,3.751384387092461e-12,0.02573596929797048
11.1,140.0,4.0,11.8,64.24,0.0,1.77,0.0,5.7224571246148154e-11,6.430841259919275e-12,3.269975499779895e-12,0.024816827537328678
15.55,144.0,5.0,11.28,55.43,0.0,0.0,0.0,4.3215948139305145e-11,3.4668644938429415e-12,3.0011075096739682e-12,0.030159339021059148
