Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.63,29.5,2.53,-2.22,32.45,0.0,190.91,0.0,4.476647900139786e-11,2.6830198261676807e-11
1.26,50.8,3.76,-8.54,43.44,0.0,121.97,0.0,6.637527513367846e-11,2.2391861002429043e-11
1.88,68.2,2.58,-2.13,53.72,0.0,104.98,0.0,8.017894821614657e-11,2.4795104089817296e-11
2.51,84.3,2.28,8.88,65.57,0.0,78.13,0.0,9.175524149924663e-11,2.8774076867618938e-11
3.13,95.3,2.01,11.55,69.99,0.0,48.41,0.0,9.403530089954226e-11,2.674111481203832e-11
3.77,106.0,3.58,16.04,70.54,0.0,33.32,0.0,9.658725756497454e-11,2.3598610355840637e-11
4.39,112.0,4.25,20.82,71.78,0.0,24.23,0.0,9.260213078192175e-11,2.2217842321577966e-11
5.02,115.0,3.18,24.3,71.41,0.0,12.56,0.0,8.537710380423647e-11,2.0272198079490183e-11
5.65,116.0,2.32,25.4,67.79,0.0,6.6,0.0,7.718217013399568e-11,1.6880169939862117e-11
6.28,116.0,2.01,24.6,64.52,0.0,2.89,0.0,6.943937281163624e-11,1.3864008390256851e-11
6.9,116.0,2.28,25.5,61.11,0.0,0.0,0.0,6.319989293580805e-11,1.182398817104129e-11
7.54,114.0,3.05,25.7,56.38,0.0,0.0,0.0,5.5858312536241064e-11,9.670082237982776e-12
8.16,112.0,3.69,24.6,53.17,0.0,0.0,0.0,4.981903849664662e-11,8.017292596231819e-12
8.79,109.0,5.1,24.9,50.65,0.0,0.0,0.0,4.3803980368623305e-11,7.015130399963166e-12
9.41,107.0,6.39,27.79,48.55,0.0,0.0,0.0,3.9430055356808686e-11,6.718625717749955e-12
