Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
9.19,248.0,7.0,0.0,218.11,0.0,212.17,0.0,2.1688888949915817e-10,8.387935906651549e-11
13.79,264.0,6.6,6.57,246.64,0.0,123.44,0.0,1.6379213444023365e-10,7.158105850080194e-11
18.35,272.0,5.7,31.53,243.17,0.0,50.16,0.0,1.3066256947598503e-10,5.397171815160128e-11
22.94,271.0,5.7,46.25,231.91,0.0,20.58,0.0,1.0375155703312294e-10,4.1011520207030455e-11
27.52,264.0,5.3,52.31,206.95,0.0,5.11,0.0,8.207461969225371e-11,2.84398253075332e-11
32.11,242.0,7.4,49.34,187.25,0.0,2.48,0.0,5.910713121683049e-11,2.0150881867547186e-11
36.7,244.0,5.3,46.74,173.25,0.0,1.13,0.0,5.2573034279859454e-11,1.5181690066924365e-11
41.44,241.0,6.2,45.26,161.14,0.0,0.43,0.0,4.542174274618528e-11,1.1755267926303053e-11
46.02,237.0,8.6,44.89,151.17,0.0,0.0,0.0,3.955483092954964e-11,9.465509667417772e-12
