Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.87,39.3,6.6,0.0,32.75,0.0,255.76,0.0,5.7532772477597547e-11,1.9976657110276925e-11,1.9323984648964062e-11,0.14586990231864946
1.74,54.6,5.6,11.53,62.91,0.0,223.85,0.0,5.5524606827922066e-11,3.933216392538634e-11,1.1389662939060937e-11,0.08908604756989781
2.61,65.5,6.7,13.36,83.12,0.0,159.05,0.0,5.3271085627405134e-11,4.5109621297934567e-11,1.0898206830644715e-11,0.08884803141226831
3.5,83.9,5.2,15.73,93.77,0.0,100.83,0.0,6.517864567337819e-11,4.2999023975380874e-11,8.079355363565354e-12,0.05383388095105862
4.37,94.3,6.3,19.72,97.55,0.0,71.56,0.0,6.594644720407375e-11,3.816910978864711e-11,8.811508322071361e-12,0.058028743075089845
5.24,104.0,5.7,22.31,98.14,0.0,51.09,0.0,6.689364274849623e-11,3.2862156959219396e-11,7.332572378200547e-12,0.047605356670164134
6.11,115.0,5.1,25.86,98.57,0.0,39.41,0.0,7.014616384570655e-11,2.931426512631629e-11,6.221659749793103e-12,0.03852003230794059
6.98,127.0,5.1,29.63,99.07,0.0,31.0,0.0,7.488614493950113e-11,2.6861182198068532e-11,6.01447778254261e-12,0.03488034421585171
7.85,129.0,5.1,33.19,99.28,0.0,20.82,0.0,6.870039256590004e-11,2.4893459060015728e-11,5.432124063350236e-12,0.0343395636853734
8.72,127.0,5.1,36.53,96.65,0.0,13.73,0.0,5.99432673942337e-11,2.2317716333546284e-11,4.8143411607967226e-12,0.03488034421585172
9.6,124.0,5.1,35.56,93.39,0.0,9.74,0.0,5.190648162753291e-11,1.8990155262811523e-11,4.269726714522868e-12,0.035724223511396515
10.47,122.0,3.9,33.73,90.22,0.0,6.87,0.0,4.607044790044991e-11,1.6118890530449476e-11,2.9454876526517153e-12,0.02776636851512593
