Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.1,13.9,3.84,2.8,7.62,0.0,126.29,0.0,6.261509666132548e-11,1.19494662135279e-11,3.459596707618559e-11,0.23995551230337941,0.1
0.3,29.9,3.92,7.72,17.26,0.0,62.07,0.0,9.657630310058418e-11,2.2529055021189533e-11,2.5323017267845483e-11,0.11387520863282588,0.1
0.51,46.7,4.1,11.07,20.43,0.0,30.5,0.0,1.3858398324866283e-10,2.1048375371399504e-11,2.4333804339165636e-11,0.07625727519500353,0.1
0.71,60.4,9.4,11.87,21.37,0.0,16.58,0.0,1.6651945597833868e-10,1.6853665850722416e-11,5.1830559145575616e-11,0.135177752645383,0.1
