Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.22,10.7,4.9,0.47,5.59,0.0,69.18,0.0,1.686531004125317e-11,2.3340902641117513e-12
0.76,24.7,4.9,1.87,17.63,0.0,60.07,0.0,2.601535575015736e-11,6.7760153597883386e-12
1.31,38.9,4.9,3.27,26.64,0.0,42.04,0.0,3.743495900275591e-11,9.04295425847152e-12
1.94,42.7,7.89,4.87,32.27,0.0,31.07,0.0,3.045814676078327e-11,9.094116980784436e-12
3.92,55.0,4.9,8.5,38.26,0.0,9.64,0.0,2.5008564673801795e-11,6.648258644836433e-12
4.35,57.2,4.9,9.17,38.43,0.0,8.68,0.0,2.4375428303595717e-11,6.1278394405294144e-12
5.0,59.8,4.9,10.3,39.09,0.0,6.38,0.0,2.31783127441402e-11,5.639630370701391e-12
5.05,62.5,3.43,10.4,39.06,0.0,6.2,0.0,2.506790911169888e-11,5.5895536533826875e-12
5.83,61.8,3.98,12.1,38.38,0.0,3.7,0.0,2.1230384040117458e-11,4.9079862442646695e-12
6.09,64.4,4.9,12.72,38.13,0.0,3.52,0.0,2.2070079467997205e-11,4.729445624790756e-12
6.74,67.2,4.9,14.18,39.23,0.0,2.89,0.0,2.1713413573850018e-11,4.666764730802242e-12
7.29,69.9,4.9,15.33,36.96,0.0,0.0,0.0,2.1720823070698992e-11,4.081113359847171e-12
